genome_id	group1	group2	group3	group4	group5	group6	group7	group8
streptococcus_00001	0	0	0	0	4	0	0	0
streptococcus_00010	0	0	0	0	0	0	0	0
streptococcus_00011	0	1	0	0	0	0	0	0
streptococcus_00012	0	0	0	3	0	0	0	0
streptococcus_00014	0	0	0	0	4	0	0	0
streptococcus_00015	0	0	0	0	4	0	0	0
streptococcus_00016	0	0	0	3	0	0	0	0
streptococcus_00018	0	0	0	0	4	0	0	0
streptococcus_00021	0	0	0	0	4	0	0	0
streptococcus_00022	0	0	0	0	4	0	0	0
streptococcus_00023	0	0	0	0	4	0	0	0
streptococcus_00026	0	0	0	0	0	0	6	0
streptococcus_00029	0	0	0	0	0	0	6	0
streptococcus_00053	0	0	2	0	0	0	0	0
streptococcus_00063	0	1	0	0	0	0	0	0
streptococcus_00070	0	0	0	0	0	0	6	0
streptococcus_00073	0	0	0	0	0	0	0	0
streptococcus_00081	0	1	0	0	0	0	0	0
streptococcus_00084	0	0	2	0	0	0	0	0
streptococcus_00085	0	1	0	0	0	0	0	0
streptococcus_00088	0	1	0	0	0	0	0	0
streptococcus_00091	0	1	0	0	0	0	0	0
streptococcus_00102	0	0	0	0	0	5	0	0
streptococcus_00105	0	0	0	0	0	0	6	0
streptococcus_00167	0	0	0	0	0	0	0	0
streptococcus_00175	0	0	0	0	0	5	0	0
streptococcus_00186	0	0	0	0	0	0	0	7
streptococcus_00192	0	1	0	0	0	0	0	0
streptococcus_00195	0	0	0	0	0	0	0	7
streptococcus_00331	0	0	2	0	0	0	0	0
streptococcus_00550	0	1	0	0	0	0	0	0
streptococcus_00551	0	1	0	0	0	0	0	0
streptococcus_00563	0	0	0	0	0	0	0	0
streptococcus_00944	0	0	0	0	0	0	0	7
streptococcus_01671	0	0	0	0	0	0	6	0
streptococcus_01723	0	0	0	0	0	0	0	7
streptococcus_01727	0	0	0	0	0	0	6	0
streptococcus_01804	0	0	0	0	0	0	0	7
streptococcus_01809	0	0	0	0	0	0	0	7
streptococcus_01814	0	1	0	0	0	0	0	0
streptococcus_01815	0	0	2	0	0	0	0	0
streptococcus_01936	0	1	0	0	0	0	0	0
streptococcus_02063	0	0	0	0	0	0	0	7
streptococcus_02064	0	0	0	0	0	0	0	7
streptococcus_02071	0	0	0	0	0	0	0	7
streptococcus_02148	0	0	0	0	0	0	0	0
streptococcus_02159	0	0	0	0	0	0	0	7
streptococcus_02356	0	1	0	0	0	0	0	0
streptococcus_02605	0	0	2	0	0	0	0	0
streptococcus_03931	0	0	0	0	4	0	0	0
streptococcus_03934	0	1	0	0	0	0	0	0
streptococcus_03942	0	0	0	0	4	0	0	0
streptococcus_03953	0	0	0	0	4	0	0	0
streptococcus_03954	0	0	0	0	4	0	0	0
streptococcus_03955	0	0	0	0	4	0	0	0
streptococcus_03956	0	0	0	0	4	0	0	0
streptococcus_03957	0	0	0	0	4	0	0	0
streptococcus_03976	0	0	0	0	4	0	0	0
streptococcus_03979	0	1	0	0	0	0	0	0
streptococcus_04001	0	1	0	0	0	0	0	0
streptococcus_04012	0	1	0	0	0	0	0	0
streptococcus_04015	0	0	0	0	0	0	0	7
streptococcus_04111	0	1	0	0	0	0	0	0
streptococcus_04284	0	0	0	0	0	0	0	7
streptococcus_04286	0	0	0	0	0	0	0	7
streptococcus_04390	0	0	0	0	0	0	0	7
streptococcus_04401	0	0	0	0	0	0	6	0
streptococcus_04403	0	0	0	0	0	0	6	0
streptococcus_04418	0	0	0	0	0	0	0	7
streptococcus_04630	0	0	0	0	0	0	0	0
streptococcus_05696	0	0	0	0	0	5	0	0
streptococcus_05798	0	1	0	0	0	0	0	0
streptococcus_05950	0	0	0	0	0	0	0	7
streptococcus_05954	0	0	0	0	0	0	0	7
streptococcus_06016	0	0	0	0	0	0	0	0
streptococcus_06022	0	0	2	0	0	0	0	0
streptococcus_06203	0	1	0	0	0	0	0	0
streptococcus_06223	0	1	0	0	0	0	0	0
streptococcus_06464	0	1	0	0	0	0	0	0
streptococcus_06722	0	1	0	0	0	0	0	0
streptococcus_07817	0	0	0	0	4	0	0	0
streptococcus_07820	0	1	0	0	0	0	0	0
streptococcus_07823	0	0	2	0	0	0	0	0
streptococcus_07824	0	0	0	0	4	0	0	0
streptococcus_07829	0	0	2	0	0	0	0	0
streptococcus_07830	0	1	0	0	0	0	0	0
streptococcus_07831	0	0	0	0	4	0	0	0
streptococcus_07832	0	0	0	0	4	0	0	0
streptococcus_07833	0	0	0	0	0	0	0	0
streptococcus_07834	0	0	0	0	4	0	0	0
streptococcus_07872	0	1	0	0	0	0	0	0
streptococcus_07904	0	1	0	0	0	0	0	0
streptococcus_07954	0	1	0	0	0	0	0	0
streptococcus_07971	0	0	0	0	0	0	6	0
streptococcus_07986	0	0	0	0	0	0	6	0
streptococcus_08003	0	0	0	0	0	0	0	7
streptococcus_08288	0	1	0	0	0	0	0	0
streptococcus_08877	0	1	0	0	0	0	0	0
