Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.045906124686605605	1.0	0	0	5.60773867937754	17.27832180221126	COQ3;COQ5
Arylsulfatase activation	2/13	0.13961136663083207	1.0	0	0	3.019551596587907	5.945173002526045	ARSA;ARSD
Purine catabolism	1/10	0.40729460709496573	1.0	0	0	1.9627085377821394	1.7629411286293932	CAT
PTM: gamma carboxylation, hypusine formation and arylsulfatase activation	2/28	0.4212128463054836	1.0	0	0	1.401934669844385	1.212136548277923	ARSA;ARSD
Peptide hormone biosynthesis	1/12	0.4661826799233917	1.0	0	0	1.6355904481517827	1.24824616400408	INHA
Keap1-Nrf2 pathway	1/13	0.49339694351117935	1.0	0	0	1.5097757982939535	1.0665679318402468	MAF
Glycosphingolipid metabolism	2/38	0.5835007704241579	1.0	0	0	1.0330044935695468	0.5564893413630627	ARSA;ARSD
Estrogen metabolism	1/17	0.5890805004864127	1.0	0	0	1.1545344339894936	0.6109708843937774	ARSD
IGF-1 receptor and longevity	1/19	0.6299211684539724	1.0	0	0	1.0330044935695468	0.4774139733113361	CAT
Signaling by FGFR1 fusion mutants	1/19	0.6299211684539724	1.0	0	0	1.0330044935695468	0.4774139733113361	BCR
GATA3-mediated activation of Th2 cytokine expression	1/20	0.6487945494455978	1.0	0	0	0.9813542688910697	0.42457230342888214	MAF
Inhibition of cellular proliferation by Gleevec	1/24	0.715149070628832	1.0	0	0	0.8177952240758913	0.27417751687050657	BCR
Pentose phosphate pathway	1/27	0.7565567452338845	1.0	0	0	0.7269290880674589	0.20279703292524115	RBKS
Oxidative stress	1/27	0.7565567452338845	1.0	0	0	0.7269290880674589	0.20279703292524115	CAT
CTCF pathway	1/27	0.7565567452338845	1.0	0	0	0.7269290880674589	0.20279703292524115	BCR
Pentose and glucuronate interconversions	1/29	0.7807639253962315	1.0	0	0	0.6767960475110825	0.16749514199576374	XYLB
Ovarian infertility genes	1/30	0.7919501459526842	1.0	0	0	0.6542361792607131	0.152605061287797	INHA
Signaling by FGFR1 mutants	1/30	0.7919501459526842	1.0	0	0	0.6542361792607131	0.152605061287797	BCR
RAC1 activity regulation	1/38	0.8631738919455498	1.0	0	0	0.5165022467847734	0.07599768150223464	BCR
Sphingolipid metabolism	2/72	0.8877358346323222	1.0	0	0	0.5451968160505942	0.06492261681884583	ARSA;ARSD
Wnt interactions in lipid metabolism and immune response	1/45	0.9051887473772728	1.0	0	0	0.4361574528404754	0.0434464273863643	PEPD
Signaling by FGFR mutants	1/45	0.9051887473772728	1.0	0	0	0.4361574528404754	0.0434464273863643	BCR
RhoA activity regulation	1/46	0.9100301778991163	1.0	0	0	0.42667576908307375	0.040225932284253224	BCR
Regulation of NFAT transcription factors	1/47	0.9146246103665177	1.0	0	0	0.4175975612302424	0.0372670577251656	MAF
Presenilin action in Notch and Wnt signaling	1/48	0.9189846344084507	1.0	0	0	0.40889761203794567	0.03454607322128823	AES
FoxO family signaling	1/49	0.9231221982240833	1.0	0	0	0.40055276281268143	0.03204168184104615	CAT
Amyotrophic lateral sclerosis (ALS)	1/53	0.9376661619936143	1.0	0	0	0.37032236561927157	0.023834427901114043	CAT
Tryptophan metabolism	1/58	0.9520429793802436	1.0	0	0	0.33839802375554123	0.016630604311874794	CAT
Selenium pathway	1/60	0.9568186988563419	1.0	0	0	0.32711808963035655	0.014439435020493177	CAT
Folate metabolism	1/63	0.9631062542780746	1.0	0	0	0.3115410377431967	0.011711306301947059	CAT
AP-1 transcription factor network	1/70	0.9744466493232836	1.0	0	0	0.28038693396887704	0.007257958292781119	MAF
Nucleotide metabolism	1/70	0.9744466493232836	1.0	0	0	0.28038693396887704	0.007257958292781119	CAT
Chronic myeloid leukemia	1/73	0.9781690460460158	1.0	0	0	0.2688641832578273	0.005934578667275349	BCR
Peroxisome	1/78	0.9832083384547325	1.0	0	0	0.2516292997156589	0.004261150910103904	CAT
Nuclear beta-catenin signaling and target gene transcription regulation	1/80	0.9848819735112844	1.0	0	0	0.24533856722276742	0.0037373574180349805	AES
ATM-dependent DNA damage response	1/82	0.9863889166735447	1.0	0	0	0.2393546997295292	0.0032802516415087906	CAT
C-Myb transcription factor network	1/85	0.988372613773549	1.0	0	0	0.23090688679789872	0.0027005744701409317	MAF
Androgen receptor signaling, proteolysis, and transcription regulation	1/88	0.9900673877004923	1.0	0	0	0.22303506111160673	0.002226396151689075	AES
Interleukin-1 regulation of extracellular matrix	1/120	0.9981508900511638	1.0	0	0	0.16355904481517827	3.027186233336109E-4	CAT
Lysosome	1/121	0.9982455229920085	1.0	0	0	0.16220731717207762	2.848389533335513E-4	ARSA
Rho GTPase cycle	1/123	0.9984204972871328	1.0	0	0	0.15956979981968614	2.5224019122283746E-4	BCR
Signaling by FGFR in disease	1/128	0.998785284002208	1.0	0	0	0.15333660451422962	1.8637364500528108E-4	BCR
Post-translational protein modification	2/196	0.9996059989068137	1.0	0	0	0.20027638140634071	7.892466243634179E-5	ARSA;ARSD
Endocytosis	2/201	0.9996896002552903	1.0	0	0	0.19529438186886958	6.062873633433952E-5	PSD;PSD2
Integrin signaling pathway	1/155	0.9997047066847105	1.0	0	0	0.12662635727626706	3.73974387217683E-5	BCR
Phospholipid metabolism	2/205	0.9997435030164914	1.0	0	0	0.19148375978362334	4.912130677823759E-5	ARSA;ARSD
Purine metabolism	1/164	0.999815070630462	1.0	0	0	0.1196773498647646	2.2133903525961927E-5	CAT
Alzheimer's disease	1/169	0.9998571909053394	1.0	0	0	0.11613659986876564	1.6586547067292868E-5	IDE
Amino acid metabolism	1/195	0.9999613057137	1.0	0	0	0.10065171988626355	3.894721818091929E-6	INHA
Antigen-activated B-cell receptor generation of second messengers	1/211	0.9999814171275491	1.0	0	0	0.09301936198019618	1.7285830002136999E-6	BCR
