Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chromatin remodeling by nuclear receptors to facilitate initiation of transcription in carcinoma cells	1/8	0.1004999052880969	1.0	0	0	9.505703422053232	21.84028986587877	RARA
MAP kinase inactivation of SMRT corepressor	1/14	0.1692126030984746	1.0	0	0	5.431830526887561	9.650186573527343	RARA
CARM1 transcriptional regulation by protein methylation	1/14	0.1692126030984746	1.0	0	0	5.431830526887561	9.650186573527343	RARA
Transcriptional activity regulation by PML	1/18	0.2120900942230608	1.0	0	0	4.224757076468102	6.551517202514496	RARA
RXR/VDR pathway	1/26	0.291343183164808	1.0	0	0	2.9248318221702254	3.6070587396199225	RARA
Retinoic acid receptor-mediated signaling	1/30	0.32793896817395474	1.0	0	0	2.5348542458808616	2.826179367685771	RARA
Nuclear receptors in lipid metabolism and toxicity	1/34	0.3626517195947696	1.0	0	0	2.2366360993066428	2.2686476301416927	RARA
Nuclear receptors	1/38	0.3955779777674827	1.0	0	0	2.001200720432259	1.8559282543758322	RARA
Vitamin A and carotenoid metabolism	1/39	0.4035412428526816	1.0	0	0	1.9498878814468168	1.76947759330318	RARA
Amino sugar and nucleotide sugar metabolism	1/45	0.44917307591629546	1.0	0	0	1.6899028305872412	1.3525086535994908	NAGK
Nuclear receptor transcription pathway	1/51	0.49132611141209603	1.0	0	0	1.4910907328710952	1.0596394447588455	RARA
Acute myeloid leukemia	1/57	0.5302646242312677	1.0	0	0	1.3341338136215062	0.8463466160200867	RARA
Adipogenesis	1/133	0.8290559123216782	1.0	0	0	0.571771634409217	0.10718870214617927	RARA
Wnt signaling pathway	1/231	0.953837997672794	1.0	0	0	0.3292018501143976	0.015558552076115952	RARA
Pathways in cancer	1/325	0.9869294526169504	1.0	0	0	0.23398654577361802	0.0030784951580693403	RARA
Generic transcription pathway	1/377	0.9935125642698381	1.0	0	0	0.20171253946001552	0.001312860303643118	RARA
Gene expression	1/968	0.9999944341985665	1.0	0	0	0.07855953241366308	4.3724797494312977E-7	RARA
