Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.23344711677225982	1.0	0	0	2.165322362366697	3.15011034083585	COQ3;COQ5
Purine salvage	3/13	0.2407503668223622	1.0	0	0	1.748914215757717	2.4904445821086196	PNP;ADK;ADA
Folate and pterine metabolism	2/8	0.2855969570462945	1.0	0	0	1.89465706707086	2.3743344129846102	DHFR;FPGS
Folate biosynthesis	2/11	0.4365992933531115	1.0	0	0	1.377932412415171	1.141946954273345	DHFR;FPGS
Glycosphingolipid biosynthesis: globo series	2/14	0.5686505531912839	1.0	0	0	1.0826611811833484	0.6111505175522076	NAGA;GLA
Pyrimidine biosynthesis	1/6	0.5722208677192987	1.0	0	0	1.2631047113805733	0.7051032332396916	DUT
NF-kappaB activation	1/6	0.5722208677192987	1.0	0	0	1.2631047113805733	0.7051032332396916	RELA
Vitamin B6 metabolism	1/6	0.5722208677192987	1.0	0	0	1.2631047113805733	0.7051032332396916	PDXK
Activation of PKC through G-protein coupled receptors	1/7	0.6286831126089851	1.0	0	0	1.0826611811833484	0.5024933088978621	RELA
Interleukin-1 processing	1/7	0.6286831126089851	1.0	0	0	1.0826611811833484	0.5024933088978621	RELA
Viral dsRNA-TLR3-TRIF complex activation of RIP1	1/7	0.6286831126089851	1.0	0	0	1.0826611811833484	0.5024933088978621	RELA
Nicotinate metabolism	1/8	0.6776953720219995	1.0	0	0	0.94732853353543	0.36856517223503216	NADK
Vitamin D biosynthesis	1/8	0.6776953720219995	1.0	0	0	0.94732853353543	0.36856517223503216	PTH
Pentose phosphate pathway	3/27	0.7106085643419925	1.0	0	0	0.8420698075870489	0.28767929198715286	RPIA;RPE;TKT
Free radical-induced apoptosis	1/10	0.7571710532836556	1.0	0	0	0.757862826828344	0.21081173854086804	RELA
Purine catabolism	1/10	0.7571710532836556	1.0	0	0	0.757862826828344	0.21081173854086804	PNP
COPI-mediated vesicle transport	1/10	0.7571710532836556	1.0	0	0	0.757862826828344	0.21081173854086804	COPA
Tetrahydrobiopterin (BH4) biosynthesis, recycling, salvage and regulation	1/10	0.7571710532836556	1.0	0	0	0.757862826828344	0.21081173854086804	DHFR
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	1/11	0.7892281783314392	1.0	0	0	0.6889662062075855	0.16307816358828547	PROC
Regulated proteolysis of p75 neurotrophin receptor	1/11	0.7892281783314392	1.0	0	0	0.6889662062075855	0.16307816358828547	RELA
Valine, leucine and isoleucine biosynthesis	1/11	0.7892281783314392	1.0	0	0	0.6889662062075855	0.16307816358828547	PDHB
Erythropoietin-mediated neuroprotection through NF-kB	1/11	0.7892281783314392	1.0	0	0	0.6889662062075855	0.16307816358828547	RELA
Osteopontin signaling	1/11	0.7892281783314392	1.0	0	0	0.6889662062075855	0.16307816358828547	RELA
Pyruvate dehydrogenase (PDH) complex regulation	1/12	0.8170546332516454	1.0	0	0	0.6315523556902867	0.12760472135456694	PDHB
TACI and BCMA stimulation of B cell immune responses	1/13	0.8412085670066946	1.0	0	0	0.5829714052525723	0.10080488001685556	RELA
Double stranded RNA-induced gene expression	1/13	0.8412085670066946	1.0	0	0	0.5829714052525723	0.10080488001685556	RELA
Nicotinate and nicotinamide metabolism	2/24	0.8444389886145204	1.0	0	0	0.6315523556902867	0.10678463490970773	PNP;NADK
MAP kinase inactivation of SMRT corepressor	1/14	0.8621745165701773	1.0	0	0	0.5413305905916742	0.08027801298756958	THRB
