Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.2194482627658778	1.0	0	0	2.253267237494367	3.4173924722594395	COQ3;COQ5
Electron transport reaction in mitochondria	2/10	0.3680657216442297	1.0	0	0	1.577287066246057	1.5764885888552351	SDHA;SDHB
Free radical-induced apoptosis	1/10	0.7423697675672002	1.0	0	0	0.7886435331230285	0.23494307642355278	GPX1
Purine catabolism	1/10	0.7423697675672002	1.0	0	0	0.7886435331230285	0.23494307642355278	GPX1
Cardiac protection against reactive oxygen species	1/11	0.7750534496348894	1.0	0	0	0.7169486664754804	0.18269521417844703	GPX1
Peptide hormone biosynthesis	1/12	0.8035921875183973	1.0	0	0	0.6572029442691903	0.1437062092154818	INHA
Chylomicron-mediated lipid transport	1/17	0.9003425023927759	1.0	0	0	0.46390796066060497	0.048701071552023516	LIPC
Golgi-associated vesicle biogenesis	1/20	0.933673859434787	1.0	0	0	0.39432176656151424	0.0270615491458567	NAPA
Nitrogen metabolism	1/23	0.9558598774631554	1.0	0	0	0.34288849266218624	0.015479340407583288	AMT
Triacylglyceride biosynthesis	1/24	0.9614630270814127	1.0	0	0	0.3286014721345952	0.012913764480191327	LIPC
Tricarboxylic acid (TCA) cycle	2/39	0.9664557907566846	1.0	0	0	0.40443258108873253	0.013799127625330245	SDHA;SDHB
Pyruvate metabolism and citric acid (TCA) cycle	2/40	0.9700774072631221	1.0	0	0	0.39432176656151424	0.011979262368483977	SDHA;SDHB
Galactose metabolism	1/26	0.9706263568110851	1.0	0	0	0.3033244358165494	0.009043219851534756	GALT
Pentose phosphate pathway	1/27	0.9743555056765442	1.0	0	0	0.2920901974529735	0.007588224784771621	RBKS
Pentose and glucuronate interconversions	1/29	0.9804539162029288	1.0	0	0	0.27194604590449256	0.00536811561874912	XYLB
Lipoprotein metabolism	1/29	0.9804539162029288	1.0	0	0	0.27194604590449256	0.00536811561874912	LIPC
Statin pathway	1/29	0.9804539162029288	1.0	0	0	0.27194604590449256	0.00536811561874912	LIPC
Ovarian infertility genes	1/30	0.9829356672912939	1.0	0	0	0.26288117770767616	0.004524607322567234	INHA
One-carbon metabolism	1/31	0.9851023795800176	1.0	0	0	0.25440113971710593	0.003818485944688133	AMT
Glycine, serine and threonine metabolism	1/32	0.986994030513343	1.0	0	0	0.24645110410094637	0.003226362302607418	AMT
Fatty acid beta oxidation	1/34	0.9900873454011706	1.0	0	0	0.23195398033030248	0.0023107515465262585	LIPC
Nuclear signaling by ErbB4	1/40	0.9956114585969155	1.0	0	0	0.19716088328075712	8.67152862257521E-4	CSN2
Mitotic prometaphase	1/43	0.9970798561839875	1.0	0	0	0.18340547281930894	5.363538541637107E-4	NUDC
