Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	1/7	0.09141554395380712	1.0	0	0	10.504201680672269	25.129619221022562	COQ5
Keap1-Nrf2 pathway	1/13	0.1631133000996947	1.0	0	0	5.656108597285068	10.256279564503451	MAF
Chylomicron-mediated lipid transport	1/17	0.20775122366844603	1.0	0	0	4.325259515570934	6.796773162470168	LIPC
GATA3-mediated activation of Th2 cytokine expression	1/20	0.23966564900130055	1.0	0	0	3.6764705882352944	5.251876676867765	MAF
Triacylglyceride biosynthesis	1/24	0.280234334435909	1.0	0	0	3.0637254901960786	3.8974544029596387	LIPC
Lipoprotein metabolism	1/29	0.3279253435879597	1.0	0	0	2.535496957403651	2.8270012868094043	LIPC
Statin pathway	1/29	0.3279253435879597	1.0	0	0	2.535496957403651	2.8270012868094043	LIPC
Fatty acid beta oxidation	1/34	0.3724672315695393	1.0	0	0	2.162629757785467	2.1358265873115294	LIPC
Regulation of NFAT transcription factors	1/47	0.4749866005080773	1.0	0	0	1.5644555694618274	1.1646881802285192	MAF
Lipid digestion, mobilization, and transport	1/48	0.48214358585801753	1.0	0	0	1.5318627450980393	1.1175142667321398	LIPC
Glycerolipid metabolism	1/49	0.4892033606322606	1.0	0	0	1.5006002400960383	1.0728946661821388	LIPC
Mitochondrial protein import	1/52	0.5098124890611783	1.0	0	0	1.414027149321267	0.9526474680117317	LDHD
Pyruvate metabolism	1/52	0.5098124890611783	1.0	0	0	1.414027149321267	0.9526474680117317	LDHD
AP-1 transcription factor network	1/70	0.6171834956057707	1.0	0	0	1.050420168067227	0.5069211130315818	MAF
Glycolysis and gluconeogenesis	1/75	0.642605468326459	1.0	0	0	0.9803921568627452	0.43355325749716417	GALM
C-Myb transcription factor network	1/85	0.6885130852350059	1.0	0	0	0.8650519031141869	0.3228554978972173	MAF
Interleukin-4 regulation of apoptosis	1/267	0.9747956928299177	1.0	0	0	0.2753910552985239	0.007030010948873858	MAF
Protein metabolism	1/442	0.9978002968330253	1.0	0	0	0.16635613521426673	3.6633718188490205E-4	LDHD
Lipid and lipoprotein metabolism	1/489	0.9988605392255372	1.0	0	0	0.15036689522434743	1.7143486909967193E-4	LIPC
Metabolism	2/1615	0.9999957181844515	1.0	0	0	0.09105809506465126	3.8989480199010497E-7	LIPC;COQ5
