Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.08756581960750737	1.0	0	0	3.9112154101887158	9.525235335138388	COQ3;COQ5
Vitamin D biosynthesis	1/8	0.45499182278823325	1.0	0	0	1.7111567419575633	1.3474945792037576	PTH
Valine, leucine and isoleucine biosynthesis	1/11	0.5659638036073922	1.0	0	0	1.2444776305145915	0.7083879709384724	PDHB
Pentose phosphate pathway	2/27	0.59675236344966	1.0	0	0	1.0140188100489262	0.5234903067258572	TKT;RBKS
Pyruvate dehydrogenase (PDH) complex regulation	1/12	0.5976875089234814	1.0	0	0	1.1407711613050422	0.5871403398840565	PDHB
Osteoblast signaling	1/14	0.6543524012854537	1.0	0	0	0.9778038525471789	0.41469564169453943	PTH
Chylomicron-mediated lipid transport	1/17	0.7247509499593137	1.0	0	0	0.8052502315094415	0.25923195268393373	LIPC
Golgi-associated vesicle biogenesis	1/20	0.7808190340044148	1.0	0	0	0.6844626967830253	0.16934419343822915	NAPA
Nitrogen metabolism	1/23	0.8254722006652806	1.0	0	0	0.5951849537243697	0.11415629077329034	AMT
Triacylglyceride biosynthesis	1/24	0.8382360179417956	1.0	0	0	0.5703855806525211	0.10064771493977803	LIPC
Lipoprotein metabolism	1/29	0.8893522157680493	1.0	0	0	0.47204323916070706	0.055352700661869154	LIPC
Statin pathway	1/29	0.8893522157680493	1.0	0	0	0.47204323916070706	0.055352700661869154	LIPC
Butanoate metabolism	1/30	0.8974466420431376	1.0	0	0	0.45630846452201684	0.04937331149876794	PDHB
Pyruvate metabolism	2/52	0.9015941879016441	1.0	0	0	0.5265097667561733	0.054541548309428034	LDHD;PDHB
One-carbon metabolism	1/31	0.9049492852335311	1.0	0	0	0.44158883663420984	0.04410429236201864	AMT
Glycine, serine and threonine metabolism	1/32	0.9119033830762264	1.0	0	0	0.4277891854893908	0.039451246632958285	AMT
Fatty acid beta oxidation	1/34	0.9243233379145853	1.0	0	0	0.40262511575472076	0.031683913413321045	LIPC
Tricarboxylic acid (TCA) cycle	1/39	0.9482464402338617	1.0	0	0	0.3510065111707822	0.018652785221839042	PDHB
Nuclear signaling by ErbB4	1/40	0.952034271957215	1.0	0	0	0.34223134839151265	0.01682212350571416	CSN2
Pyruvate metabolism and citric acid (TCA) cycle	1/40	0.952034271957215	1.0	0	0	0.34223134839151265	0.01682212350571416	PDHB
Mitotic prometaphase	1/43	0.9618148957469167	1.0	0	0	0.3183547426897792	0.01239458889077964	NUDC
Wnt interactions in lipid metabolism and immune response	1/45	0.9672009339641339	1.0	0	0	0.3042056430146779	0.010144958261462302	PEPD
Polo-like kinase 1 (PLK1) pathway	1/46	0.9696021457918569	1.0	0	0	0.2975924768621849	0.009186516263540919	NUDC
Lipid digestion, mobilization, and transport	1/48	0.9738903338984739	1.0	0	0	0.28519279032626055	0.007545224507222227	LIPC
Activation of chaperones by IRE1 alpha	1/48	0.9738903338984739	1.0	0	0	0.28519279032626055	0.007545224507222227	SERP1
Presenilin action in Notch and Wnt signaling	1/48	0.9738903338984739	1.0	0	0	0.28519279032626055	0.007545224507222227	AES
Glycerolipid metabolism	1/49	0.9758020655739573	1.0	0	0	0.279372529299194	0.0068433739267514575	LIPC
Signaling events mediated by PTP1B	1/52	0.980738034089644	1.0	0	0	0.26325488337808667	0.005120279772070057	CSN2
Mitochondrial protein import	1/52	0.980738034089644	1.0	0	0	0.26325488337808667	0.005120279772070057	LDHD
Clathrin derived vesicle budding	1/61	0.9902860266295883	1.0	0	0	0.2244139989452542	0.0021906086767804534	NAPA
Endochondral ossification	1/66	0.9933596507434428	1.0	0	0	0.20741293841909858	0.001381887554131555	PTH
Messenger RNA splicing: major pathway	1/68	0.9942969994664024	1.0	0	0	0.20131255787736038	0.0011513718918041338	FUS
Glycolysis and gluconeogenesis	1/75	0.9966519761724892	1.0	0	0	0.18252338580880675	6.121179101818787E-4	PDHB
Mitochondrial pathway of apoptosis: caspases	1/77	0.9971245847393845	1.0	0	0	0.17778251864494166	5.119349331737329E-4	NAIP
Unfolded protein response	1/79	0.9975304601567889	1.0	0	0	0.17328169538810767	4.2845531261124896E-4	SERP1
Nuclear beta-catenin signaling and target gene transcription regulation	1/80	0.9977113698772143	1.0	0	0	0.17111567419575632	3.9206930858885926E-4	AES
Regular glucocorticoid receptor pathway	1/82	0.9980343794423419	1.0	0	0	0.16694212116659154	3.284677926885336E-4	CSN2
NOD signaling pathway	1/85	0.9984354027437344	1.0	0	0	0.1610500463018883	2.52175788822421E-4	NAIP
Androgen receptor signaling, proteolysis, and transcription regulation	1/88	0.9987545279281385	1.0	0	0	0.15555970381432394	1.9386601904003594E-4	AES
Signaling by ERBB4	1/93	0.9991482407309453	1.0	0	0	0.14719627887806996	1.2542922024163714E-4	CSN2
Class B GPCRs (secretin family receptors)	1/95	0.9992682583351153	1.0	0	0	0.14409740984905794	1.0548067559942643E-4	PTH
M phase pathway	1/96	0.9993217474476981	1.0	0	0	0.14259639516313027	9.674918286874359E-5	NUDC
Tricarboxylic acid (TCA) cycle and respiratory electron transport	1/117	0.9998608061830869	1.0	0	0	0.11700217039026074	1.628711224269271E-5	PDHB
G alpha (s) signaling events	1/125	0.9999229346181701	1.0	0	0	0.10951403148528405	8.440065874776902E-6	PTH
Integration of energy metabolism	1/125	0.9999229346181701	1.0	0	0	0.10951403148528405	8.440065874776902E-6	TKT
Membrane trafficking	1/133	0.9999566477750993	1.0	0	0	0.10292672132075567	4.462199094817888E-6	NAPA
Diabetes pathways	1/137	0.9999671752613182	1.0	0	0	0.09992156157416428	3.2799529794460337E-6	SERP1
Capped intron-containing pre-mRNA processing	1/138	0.9999693404546645	1.0	0	0	0.09919749228739497	3.0413966361148296E-6	FUS
Metabolism	6/1615	0.9999931497395114	1.0	0	0	0.05085790935849104	3.48391120299293E-7	COQ3;LIPC;AMT;PDHB;TKT;COQ5
Signal transduction	1/1020	0.9999938889014881	1.0	0	0	0.013420837191824025	8.201630879648319E-8	CSN2
Signaling by GPCR	1/977	0.9999939571368766	1.0	0	0	0.014011518869662749	8.466994650565194E-8	PTH
Gene expression	1/968	0.9999939717588172	1.0	0	0	0.01414179125584763	8.52503854020811E-8	FUS
Interleukin-2 signaling pathway	1/847	0.9999941817678487	1.0	0	0	0.016162047149540146	9.403481591456249E-8	ADD2
Disease	1/674	0.9999945349821626	1.0	0	0	0.02031046577991173	1.1099736107427949E-7	SERP1
T cell receptor regulation of apoptosis	1/603	0.9999947040081987	1.0	0	0	0.022701913657811785	1.2022946697355342E-7	NAIP
TGF-beta regulation of extracellular matrix	1/565	0.9999948019463206	1.0	0	0	0.024228768027717708	1.2594276412218942E-7	NAIP
Lipid and lipoprotein metabolism	1/489	0.9999950166972961	1.0	0	0	0.027994384326504106	1.3950483870687237E-7	LIPC
Cell cycle	1/453	0.9999951289647656	1.0	0	0	0.030219103610729593	1.4719867694475848E-7	NUDC
Protein metabolism	1/442	0.9999951648475497	1.0	0	0	0.03097116275036314	1.4975065549531418E-7	LDHD
GPCR ligand binding	1/410	0.9999952736954062	1.0	0	0	0.03338842423331831	1.5780423574958094E-7	PTH
Carbohydrate metabolism	1/235	0.9999960290224927	1.0	0	0	0.058252144407065984	2.3131841447062853E-7	TKT
Messenger RNA processing	1/203	0.9999960486071122	1.0	0	0	0.06743474845152958	2.664617118684041E-7	FUS
DNA replication	1/207	0.9999960731812735	1.0	0	0	0.06613166152492998	2.5968755676518923E-7	NUDC
