Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.032503538520634485	1.0	0	0	6.7624683009298385	23.17096411168346	COQ3;COQ5
Golgi-associated vesicle biogenesis	1/20	0.5784376115592963	1.0	0	0	1.183431952662722	0.6478397436108378	NAPA
Pentose phosphate pathway	1/27	0.6884892469862537	1.0	0	0	0.8766162612316457	0.32720191011660993	RBKS
Pentose and glucuronate interconversions	1/29	0.7142904367048996	1.0	0	0	0.8161599673536012	0.2746097737247163	XYLB
Mitotic prometaphase	1/43	0.8440519230436604	1.0	0	0	0.5504334663547543	0.09332118678109759	NUDC
Polo-like kinase 1 (PLK1) pathway	1/46	0.8630347379695862	1.0	0	0	0.5145356315924877	0.07579127148797522	NUDC
Malaria	1/51	0.8896830788581311	1.0	0	0	0.46409096182851833	0.05424757899622068	HBD
Vitamin B12 metabolism	1/52	0.8943558068449611	1.0	0	0	0.4551661356395084	0.05082002219097997	CRP
Selenium pathway	1/60	0.9252795210858858	1.0	0	0	0.3944773175542406	0.030634872647209373	CRP
Clathrin derived vesicle budding	1/61	0.9284458764256865	1.0	0	0	0.3880104762828596	0.02880713601650022	NAPA
Folate metabolism	1/63	0.9343821650285538	1.0	0	0	0.375692683384991	0.02549817006649865	CRP
Interleukin-6 signaling pathway	1/71	0.9535983347195323	1.0	0	0	0.33336111342611885	0.015838896235283565	CRP
Mitochondrial pathway of apoptosis: caspases	1/77	0.9642209675871437	1.0	0	0	0.30738492276953816	0.011199505463652143	NAIP
Complement cascade	1/77	0.9642209675871437	1.0	0	0	0.30738492276953816	0.011199505463652143	CRP
NOD signaling pathway	1/85	0.974704810231973	1.0	0	0	0.278454577097111	0.0071341768357554534	NAIP
M phase pathway	1/96	0.9843005573053887	1.0	0	0	0.24654832347140038	0.003901376763433703	NUDC
Leptin influence on immune response	1/110	0.9914475327760124	1.0	0	0	0.21516944593867668	0.0018481440432678463	CRP
Factors involved in megakaryocyte development and platelet production	1/125	0.9955402811881364	1.0	0	0	0.1893491124260355	8.463324068426796E-4	HBD
Membrane trafficking	1/133	0.9968490197123687	1.0	0	0	0.1779596921297326	5.616327942482844E-4	NAPA
DNA replication	1/207	0.9998713729890156	1.0	0	0	0.11434125146499727	1.4708319372014085E-5	NUDC
Metabolism	3/1615	0.9999940341920664	1.0	0	0	0.04396651217322805	2.622965495397652E-7	COQ3;XYLB;COQ5
Immune system	1/998	0.9999947537565246	1.0	0	0	0.023716071195645727	1.2442061014346397E-7	CRP
Oncostatin M	1/311	0.9999950345429724	1.0	0	0	0.07610494872429079	3.7789679069030323E-7	CRP
Innate immune system	1/319	0.9999953947907749	1.0	0	0	0.0741963606685092	3.416905513962738E-7	CRP
T cell receptor regulation of apoptosis	1/603	0.9999954764246352	1.0	0	0	0.03925147438350653	1.7755740415254197E-7	NAIP
TGF-beta regulation of extracellular matrix	1/565	0.9999955669894512	1.0	0	0	0.04189139655443263	1.857054144451902E-7	NAIP
Hemostasis pathway	1/468	0.9999958232485755	1.0	0	0	0.050574015071056494	2.112355306302078E-7	HBD
Cell cycle	1/453	0.9999958659734887	1.0	0	0	0.0522486513316875	2.159977562573664E-7	NUDC
