Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Electron transport reaction in mitochondria	1/10	0.21006966270841942	1.0	0	0	4.291845493562231	6.6966355197039285	SDHA
Chylomicron-mediated lipid transport	1/17	0.3303158142605823	1.0	0	0	2.5246149962130775	2.796531353839064	LIPC
Golgi-associated vesicle biogenesis	1/20	0.376084665533411	1.0	0	0	2.1459227467811157	2.098585808260046	NAPA
Triacylglyceride biosynthesis	1/24	0.43229085693686914	1.0	0	0	1.7882689556509297	1.4997436290107848	LIPC
Pentose phosphate pathway	1/27	0.47110359538104807	1.0	0	0	1.5895724050230486	1.1964350046418886	RBKS
Pentose and glucuronate interconversions	1/29	0.495496126292116	1.0	0	0	1.479946721918011	1.0392122880248678	XYLB
Lipoprotein metabolism	1/29	0.495496126292116	1.0	0	0	1.479946721918011	1.0392122880248678	LIPC
Statin pathway	1/29	0.495496126292116	1.0	0	0	1.479946721918011	1.0392122880248678	LIPC
Fatty acid beta oxidation	1/34	0.5516778954216529	1.0	0	0	1.2623074981065388	0.7508090454526413	LIPC
Tricarboxylic acid (TCA) cycle	1/39	0.6016151386652859	1.0	0	0	1.1004732034774953	0.5591915292817411	SDHA
Pyruvate metabolism and citric acid (TCA) cycle	1/40	0.6109156122272552	1.0	0	0	1.0729613733905579	0.5287515488664488	SDHA
Wnt interactions in lipid metabolism and immune response	1/45	0.6542669408853474	1.0	0	0	0.9537434430138293	0.40461596977669423	PEPD
Lipid digestion, mobilization, and transport	1/48	0.6779280207908891	1.0	0	0	0.8941344778254648	0.34756273310334207	LIPC
Glycerolipid metabolism	1/49	0.6854503195898292	1.0	0	0	0.8758868354208635	0.33080428821243385	LIPC
Malaria	1/51	0.6999730252031596	1.0	0	0	0.8415383320710258	0.300188067075064	HBD
Vitamin B12 metabolism	1/52	0.7069814926594788	1.0	0	0	0.8253549026081215	0.28619246509840907	CRP
Selenium pathway	1/60	0.7574762082047021	1.0	0	0	0.7153075822603719	0.1986860875554281	CRP
Clathrin derived vesicle budding	1/61	0.7631439809791004	1.0	0	0	0.7035812284528249	0.19018402992091923	NAPA
Folate metabolism	1/63	0.7740860652227782	1.0	0	0	0.6812453164384494	0.17444799795346502	CRP
Interleukin-6 signaling pathway	1/71	0.8130365854707952	1.0	0	0	0.6044852807834129	0.12511586161381752	CRP
Mitochondrial pathway of apoptosis: caspases	1/77	0.8377834952463037	1.0	0	0	0.5573825316314587	0.09865423932617381	NAIP
Complement cascade	1/77	0.8377834952463037	1.0	0	0	0.5573825316314587	0.09865423932617381	CRP
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	1/81	0.8524371840545707	1.0	0	0	0.5298574683410162	0.0845947951744603	SDHA
NOD signaling pathway	1/85	0.8657697095252993	1.0	0	0	0.5049229992426154	0.07277774810377668	NAIP
Alzheimer's disease	2/169	0.9073231664982175	1.0	0	0	0.5079107092973055	0.04939766345003077	IDE;SDHA
Electron transport chain	1/105	0.9164215782624384	1.0	0	0	0.4087471898630697	0.035674956839316235	SDHA
Leptin influence on immune response	1/110	0.9257626007105446	1.0	0	0	0.39016777214202103	0.0300965462065951	CRP
Tricarboxylic acid (TCA) cycle and respiratory electron transport	1/117	0.9371158637624062	1.0	0	0	0.36682440115916515	0.0238246397513748	SDHA
Factors involved in megakaryocyte development and platelet production	1/125	0.9479846894704401	1.0	0	0	0.34334763948497854	0.01834057586443623	HBD
Parkinson's disease	1/131	0.9548869471320494	1.0	0	0	0.32762179340169706	0.015123783859813429	SDHA
Membrane trafficking	1/133	0.956978211051849	1.0	0	0	0.32269514989189707	0.01419040813168436	NAPA
Oxidative phosphorylation	1/136	0.9599351051290721	1.0	0	0	0.3155768745266347	0.012903810789270963	SDHA
Huntington's disease	1/184	0.9871956286855422	1.0	0	0	0.23325247247620823	0.0030059371696171022	SDHA
Oncostatin M	1/311	0.9993797915431725	1.0	0	0	0.13800146281550585	8.561622699202694E-5	CRP
Innate immune system	1/319	0.999487421773461	1.0	0	0	0.13454061108345552	6.898026822910506E-5	CRP
Hemostasis pathway	1/468	0.9999824362836152	1.0	0	0	0.09170610028979129	1.610714081353513E-6	HBD
Lipid and lipoprotein metabolism	1/489	0.9999880120523419	1.0	0	0	0.08776780150434012	1.0521621171461888E-6	LIPC
Metabolism	3/1615	0.9999949484728973	1.0	0	0	0.07972468409093927	4.027324196495697E-7	LIPC;SDHA;XYLB
TGF-beta regulation of extracellular matrix	1/565	0.999994998364637	1.0	0	0	0.07596186714269436	3.799345110873015E-7	NAIP
Immune system	1/998	0.9999956082000306	1.0	0	0	0.04300446386334901	1.888674178117063E-7	CRP
T cell receptor regulation of apoptosis	1/603	0.9999957307554537	1.0	0	0	0.07117488380700218	3.0386363316317245E-7	NAIP
