DATASET_BINARY
SEPARATOR TAB
DATASET_LABEL	Host names
COLOR	#4d9221
FIELD_SHAPES	1	2	3	4	5	
FIELD_COLORS	#4d9221	#4d9221	#4d9221	#4d9221	#a1d76a
FIELD_LABELS	Unknown	Human, Homo sapiens	Pan troglodytes	Cow, Bos taurus	Other
DATA
lactococcus_00137	1	0	0	0	0
lactococcus_00055	1	0	0	0	0
lactococcus_00127	1	0	0	0	0
lactococcus_00180	0	0	0	0	1
lactococcus_00005	0	0	0	0	1
lactococcus_00178	1	0	0	0	0
lactococcus_00001	1	0	0	0	0
lactococcus_00009	1	0	0	0	0
streptococcus_09919	0	0	0	1	0
streptococcus_11902	0	0	0	0	1
streptococcus_11956	0	0	0	0	1
streptococcus_11955	0	0	0	0	1
streptococcus_11903	0	0	0	0	1
streptococcus_11942	0	0	0	0	1
streptococcus_00012	1	0	0	0	0
streptococcus_00016	1	0	0	0	0
streptococcus_11844	0	0	0	0	1
streptococcus_11845	0	0	0	0	1
streptococcus_11838	1	0	0	0	0
streptococcus_11883	1	0	0	0	0
streptococcus_00014	1	0	0	0	0
streptococcus_00022	1	0	0	0	0
streptococcus_00018	1	0	0	0	0
streptococcus_03931	1	0	0	0	0
streptococcus_03956	1	0	0	0	0
streptococcus_03957	1	0	0	0	0
streptococcus_00023	1	0	0	0	0
streptococcus_07834	1	0	0	0	0
streptococcus_07831	1	0	0	0	0
streptococcus_00015	1	0	0	0	0
streptococcus_03955	1	0	0	0	0
streptococcus_07817	1	0	0	0	0
streptococcus_07832	1	0	0	0	0
streptococcus_07824	1	0	0	0	0
streptococcus_03954	1	0	0	0	0
streptococcus_00001	1	0	0	0	0
streptococcus_00021	1	0	0	0	0
streptococcus_03953	1	0	0	0	0
streptococcus_03942	1	0	0	0	0
streptococcus_03976	0	1	0	0	0
streptococcus_11886	0	1	0	0	0
streptococcus_11919	1	0	0	0	0
streptococcus_11869	1	0	0	0	0
streptococcus_11862	0	1	0	0	0
streptococcus_11868	0	0	0	0	1
streptococcus_11840	0	0	0	0	1
streptococcus_11884	0	0	0	0	1
streptococcus_00102	1	0	0	0	0
streptococcus_11965	1	0	0	0	0
streptococcus_11967	1	0	0	0	0
streptococcus_11970	1	0	0	0	0
streptococcus_11963	1	0	0	0	0
streptococcus_11973	1	0	0	0	0
streptococcus_11980	1	0	0	0	0
streptococcus_11964	1	0	0	0	0
streptococcus_11979	1	0	0	0	0
streptococcus_11966	1	0	0	0	0
streptococcus_11981	1	0	0	0	0
streptococcus_11975	1	0	0	0	0
streptococcus_11968	1	0	0	0	0
streptococcus_11971	1	0	0	0	0
streptococcus_11977	1	0	0	0	0
streptococcus_11974	1	0	0	0	0
streptococcus_11976	1	0	0	0	0
streptococcus_11982	1	0	0	0	0
streptococcus_11984	1	0	0	0	0
streptococcus_11985	1	0	0	0	0
streptococcus_11983	1	0	0	0	0
streptococcus_11972	1	0	0	0	0
streptococcus_11978	1	0	0	0	0
streptococcus_11854	1	0	0	0	0
streptococcus_11908	0	0	0	1	0
streptococcus_11932	1	0	0	0	0
streptococcus_11935	0	1	0	0	0
streptococcus_11962	1	0	0	0	0
streptococcus_11969	1	0	0	0	0
streptococcus_11892	1	0	0	0	0
streptococcus_11893	1	0	0	0	0
streptococcus_00175	0	0	0	0	1
streptococcus_11864	1	0	0	0	0
streptococcus_05696	0	0	0	0	1
streptococcus_11836	1	0	0	0	0
streptococcus_00070	0	0	0	0	1
streptococcus_07971	0	0	0	0	1
streptococcus_00026	0	0	0	0	1
streptococcus_00029	0	1	0	0	0
streptococcus_09936	0	0	0	1	0
streptococcus_10375	0	0	0	1	0
streptococcus_11831	0	1	0	0	0
streptococcus_01727	1	0	0	0	0
streptococcus_04401	1	0	0	0	0
streptococcus_04403	1	0	0	0	0
streptococcus_01671	0	1	0	0	0
streptococcus_07986	1	0	0	0	0
streptococcus_11929	1	0	0	0	0
streptococcus_00105	0	0	0	0	1
streptococcus_00195	0	1	0	0	0
streptococcus_00944	0	1	0	0	0
streptococcus_02064	0	0	0	1	0
streptococcus_02063	0	0	0	1	0
streptococcus_05950	0	0	0	1	0
streptococcus_09930	0	0	0	1	0
streptococcus_04286	0	1	0	0	0
streptococcus_04015	0	1	0	0	0
streptococcus_09918	0	0	0	1	0
streptococcus_02159	0	0	0	0	1
streptococcus_05954	0	0	0	1	0
streptococcus_00186	0	1	0	0	0
streptococcus_01723	0	1	0	0	0
streptococcus_04284	0	1	0	0	0
streptococcus_04390	0	1	0	0	0
streptococcus_04418	0	1	0	0	0
streptococcus_08003	0	1	0	0	0
streptococcus_01804	0	1	0	0	0
streptococcus_01809	0	1	0	0	0
streptococcus_02071	0	0	0	1	0
streptococcus_09948	0	0	0	1	0
streptococcus_00084	0	0	0	0	1
streptococcus_07829	0	0	1	0	0
streptococcus_02605	0	1	0	0	0
streptococcus_01815	0	1	0	0	0
streptococcus_00331	1	0	0	0	0
streptococcus_11933	1	0	0	0	0
streptococcus_00053	0	0	0	0	1
streptococcus_11927	1	0	0	0	0
streptococcus_07823	1	0	0	0	0
streptococcus_06022	0	0	0	0	1
streptococcus_00011	0	0	0	0	1
streptococcus_11875	0	0	1	0	0
streptococcus_04111	0	1	0	0	0
streptococcus_11946	1	0	0	0	0
streptococcus_00192	0	1	0	0	0
streptococcus_10696	1	0	0	0	0
streptococcus_00550	0	1	0	0	0
streptococcus_00551	0	1	0	0	0
streptococcus_06203	0	1	0	0	0
streptococcus_06223	0	1	0	0	0
streptococcus_09004	0	1	0	0	0
streptococcus_08877	0	1	0	0	0
streptococcus_01936	1	0	0	0	0
streptococcus_08288	1	0	0	0	0
streptococcus_02356	0	1	0	0	0
streptococcus_05798	1	0	0	0	0
streptococcus_06464	0	1	0	0	0
streptococcus_00081	0	1	0	0	0
streptococcus_06722	1	0	0	0	0
streptococcus_07820	0	1	0	0	0
streptococcus_03934	0	1	0	0	0
streptococcus_11876	0	1	0	0	0
streptococcus_11871	0	1	0	0	0
streptococcus_11899	1	0	0	0	0
streptococcus_11870	1	0	0	0	0
streptococcus_11863	1	0	0	0	0
streptococcus_11904	1	0	0	0	0
streptococcus_04012	0	1	0	0	0
streptococcus_01814	0	1	0	0	0
streptococcus_11945	1	0	0	0	0
streptococcus_03979	0	1	0	0	0
streptococcus_11948	1	0	0	0	0
streptococcus_11897	1	0	0	0	0
streptococcus_11947	1	0	0	0	0
streptococcus_11934	0	1	0	0	0
streptococcus_07830	0	1	0	0	0
streptococcus_00085	1	0	0	0	0
streptococcus_11849	0	1	0	0	0
streptococcus_11898	1	0	0	0	0
streptococcus_00091	0	1	0	0	0
streptococcus_07872	0	1	0	0	0
streptococcus_07904	0	1	0	0	0
streptococcus_09913	0	1	0	0	0
streptococcus_11944	0	0	1	0	0
streptococcus_07954	0	1	0	0	0
streptococcus_11907	1	0	0	0	0
streptococcus_11855	1	0	0	0	0
streptococcus_04001	0	0	1	0	0
streptococcus_00063	0	1	0	0	0
streptococcus_00088	0	0	0	0	1
streptococcus_11900	0	0	0	0	1
streptococcus_00073	0	0	0	0	1
streptococcus_00167	0	0	0	0	1
streptococcus_00010	1	0	0	0	0
streptococcus_11872	0	0	0	0	1
streptococcus_00563	1	0	0	0	0
streptococcus_04630	0	0	0	0	1
streptococcus_06016	0	0	0	0	1
streptococcus_07833	1	0	0	0	0
streptococcus_11960	0	0	0	1	0
streptococcus_02148	0	0	0	0	1
streptococcus_11865	0	0	0	0	1
streptococcus_11918	0	0	0	0	1
streptococcus_11832	0	0	1	0	0
floricoccus_00001	0	0	0	0	1
lactococcus_00181	0	0	0	0	1
lactococcus_00187	0	0	0	0	1
lactococcus_00188	1	0	0	0	0
lactococcus_00186	1	0	0	0	0
lactococcus_00092	1	0	0	0	0
lactococcus_00020	1	0	0	0	0
lactococcus_00059	1	0	0	0	0
lactococcus_00173	1	0	0	0	0
lactococcus_00017	1	0	0	0	0
lactococcus_00184	0	0	0	0	1
lactococcus_00183	0	0	0	0	1
