DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Genome data rRNA content
COLOR,#0173b2
FIELD_COLORS,#0173b2
FIELD_LABELS,rRNA
DATASET_SCALE,10-0.1-#8e9594-1-0-8,20-0.2-#8e9594-1-0-8,30-0.3-#8e9594-1-0-8,40-0.4-#8e9594-1-0-8,50-0.5-#8e9594-1-0-8
DATA
streptococcus_09919,7.894736842105263
streptococcus_00011,22.641509433962266
streptococcus_04630,6.666666666666667
streptococcus_11960,10.256410256410255
streptococcus_06016,10.256410256410255
streptococcus_00563,8.571428571428571
streptococcus_07833,24.324324324324326
streptococcus_05958,12.195121951219512
streptococcus_02148,11.11111111111111
streptococcus_11918,20.689655172413794
streptococcus_00010,7.142857142857142
streptococcus_00167,7.317073170731707
streptococcus_00073,11.11111111111111
streptococcus_11872,10.714285714285714
streptococcus_11832,7.894736842105263
streptococcus_00091,21.052631578947366
streptococcus_00088,21.052631578947366
streptococcus_07872,8.0
streptococcus_09913,17.857142857142858
streptococcus_07904,9.375
streptococcus_02944,6.382978723404255
streptococcus_00115,23.684210526315788
streptococcus_07830,12.121212121212121
streptococcus_11948,10.526315789473683
streptococcus_11934,4.444444444444445
streptococcus_11875,6.976744186046512
streptococcus_07856,10.344827586206897
streptococcus_07932,28.125
streptococcus_03979,9.090909090909092
streptococcus_11945,8.695652173913043
streptococcus_11871,8.333333333333332
streptococcus_11876,15.384615384615385
streptococcus_01814,8.571428571428571
streptococcus_04012,12.0
streptococcus_06722,20.689655172413794
streptococcus_00192,10.0
streptococcus_00081,9.30232558139535
streptococcus_05798,8.571428571428571
streptococcus_00551,16.0
streptococcus_02356,7.6923076923076925
streptococcus_06223,5.263157894736842
streptococcus_09004,8.823529411764707
streptococcus_01936,8.0
streptococcus_06203,9.090909090909092
streptococcus_06464,7.6923076923076925
streptococcus_08288,10.714285714285714
streptococcus_00550,15.789473684210526
streptococcus_10696,18.867924528301888
streptococcus_07820,19.642857142857142
streptococcus_11863,6.666666666666667
streptococcus_11904,7.142857142857142
streptococcus_00063,6.521739130434782
streptococcus_03973,24.0
streptococcus_04001,7.5
streptococcus_07954,6.382978723404255
streptococcus_11944,8.108108108108109
streptococcus_11900,12.0
streptococcus_11883,27.536231884057973
streptococcus_00014,3.8461538461538463
streptococcus_03942,3.125
streptococcus_00001,2.857142857142857
streptococcus_07831,3.125
streptococcus_00018,10.714285714285714
streptococcus_07824,2.857142857142857
streptococcus_07829,7.6923076923076925
streptococcus_07844,8.823529411764707
streptococcus_11919,13.636363636363635
streptococcus_06022,7.317073170731707
