DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Genomesizes
COLOR,#0173b2
DATASET_SCALE,500000-500000-#8e9594-1-0-8,1000000-1000000-#8e9594-1-0-8,1500000-1500000-#8e9594-1-0-8,2000000-2000000-#8e9594-1-0-8,2500000-2500000-#8e9594-1-0-8,3000000-3000000-#8e9594-1-0-8
DATA
lactococcus_00137,2052312
lactococcus_00055,2164799
lactococcus_00127,2058608
lactococcus_00180,1734781
lactococcus_00005,2169598
lactococcus_00178,2009315
lactococcus_00001,2223617
lactococcus_00009,1989201
streptococcus_09919,2035779
streptococcus_11902,1094515
streptococcus_11956,1215641
streptococcus_11955,1119449
streptococcus_11903,1511423
streptococcus_11942,2147614
streptococcus_00012,2289031
streptococcus_00016,2100658
streptococcus_11844,2383584
streptococcus_11845,2182100
streptococcus_11838,2077809
streptococcus_11883,2431956
streptococcus_00014,2085051
streptococcus_00022,2073661
streptococcus_00018,2083613
streptococcus_03931,1996281
streptococcus_03956,2060591
streptococcus_03957,2038105
streptococcus_00023,2053482
streptococcus_07834,2075737
streptococcus_07831,2088764
streptococcus_00015,2136893
streptococcus_03955,2128118
streptococcus_07817,2070376
streptococcus_07832,2059486
streptococcus_07824,2114540
streptococcus_03954,2036293
streptococcus_00001,2106508
streptococcus_00021,2074680
streptococcus_03953,2094807
streptococcus_03942,2144742
streptococcus_03976,2142483
streptococcus_11886,2360910
streptococcus_11919,2096837
streptococcus_11869,1590794
streptococcus_11862,1631962
streptococcus_11868,2553358
streptococcus_11840,2385174
streptococcus_11884,2241302
streptococcus_00102,2130034
streptococcus_11965,2140244
streptococcus_11967,2165226
streptococcus_11970,2013266
streptococcus_11963,2400102
streptococcus_11973,2294311
streptococcus_11980,2283298
streptococcus_11964,2242337
streptococcus_11979,2244452
streptococcus_11966,2373245
streptococcus_11981,2447338
streptococcus_11975,2449980
streptococcus_11968,2237550
streptococcus_11971,2344082
streptococcus_11977,2344564
streptococcus_11974,2271320
streptococcus_11976,2376573
streptococcus_11982,2347095
streptococcus_11984,2186078
streptococcus_11985,2247426
streptococcus_11983,2141642
streptococcus_11972,2238679
streptococcus_11978,2007450
streptococcus_11854,1922507
streptococcus_11908,1740123
streptococcus_11932,1575225
streptococcus_11935,1906877
streptococcus_11962,1900497
streptococcus_11969,1847205
streptococcus_11892,1442171
streptococcus_11893,1444718
streptococcus_00175,2119915
streptococcus_11864,2429275
streptococcus_05696,2415121
streptococcus_11836,2127389
streptococcus_00070,1999273
streptococcus_07971,1876821
streptococcus_00026,2098647
streptococcus_00029,2111372
streptococcus_09936,2075036
streptococcus_10375,1963224
streptococcus_11831,2238145
streptococcus_01727,2150943
streptococcus_04401,1844370
streptococcus_04403,1720933
streptococcus_01671,1794996
streptococcus_07986,1881652
streptococcus_11929,2138288
streptococcus_00105,1700082
streptococcus_00195,2059327
streptococcus_00944,2023129
streptococcus_02064,2036401
streptococcus_02063,2023933
streptococcus_05950,2292966
streptococcus_09930,2127808
streptococcus_04286,2116007
streptococcus_04015,2032609
streptococcus_09918,1985213
streptococcus_02159,2054275
streptococcus_05954,2075344
streptococcus_00186,2060834
streptococcus_01723,2076016
streptococcus_04284,2115733
streptococcus_04390,2122058
streptococcus_04418,2159324
streptococcus_08003,2026360
streptococcus_01804,1938203
streptococcus_01809,2028396
streptococcus_02071,2201209
streptococcus_09948,2226120
streptococcus_00084,1502400
streptococcus_07829,1676814
streptococcus_02605,2012978
streptococcus_01815,1838323
streptococcus_00331,1802905
streptococcus_11933,2097874
streptococcus_00053,2037184
streptococcus_11927,2118276
streptococcus_07823,1930691
streptococcus_06022,1847340
streptococcus_00011,2384128
streptococcus_11875,2189983
streptococcus_04111,1720476
streptococcus_11946,927400
streptococcus_00192,2123243
streptococcus_10696,2101444
streptococcus_00550,2043336
streptococcus_00551,2016249
streptococcus_06203,2041896
streptococcus_06223,1984735
streptococcus_09004,2037519
streptococcus_08877,1984585
streptococcus_01936,1972459
streptococcus_08288,2009905
streptococcus_02356,2085805
streptococcus_05798,1818968
streptococcus_06464,1987688
streptococcus_00081,1879803
streptococcus_06722,1909206
streptococcus_07820,2080791
streptococcus_03934,1952553
streptococcus_11876,2264360
streptococcus_11871,2301983
streptococcus_11899,1567446
streptococcus_11870,1500206
streptococcus_11863,1582847
streptococcus_11904,1795280
streptococcus_04012,2019639
streptococcus_01814,2045418
streptococcus_11945,1652745
streptococcus_03979,2020730
streptococcus_11948,1985520
streptococcus_11897,1794265
streptococcus_11947,1392963
streptococcus_11934,2334592
