genome.genome_id	genome.genome_name	genome.genome_quality	genome.genome_status	genome.patric_cds	genome.genome_length	genome.checkm_completeness	genome.checkm_contamination	genome.contigs	genome.contig_n50	genome.contig_l50	genome.coarse_consistency	genome.fine_consistency
1200793.3	Streptococcus salivarius K12	Good	WGS	2202	2426359	99.8	4.3	7	1489429	1	99.6	97.3
1307.1905	Streptococcus suis strain 900	Good	WGS	2368	2268678	100	4.5	249	68562	9	99.6	97.3
764299.3	Streptococcus ictaluri 707-05	Good	WGS	2475	2238145	98.6	4.2	37	99916	9	99.3	97.2
313439.3	Streptococcus massiliensis strain NCTC13765	Good	WGS	2003	2033868	98.8	4.4	5	1973330	1	99.3	97.8
1307.1946	Streptococcus suis strain 1313	Good	WGS	2383	2242463	99.2	4.5	300	52093	14	99.4	97.6
1335.40	Streptococcus equinus strain FDAARGOS_251	Good	Complete	2324	2311351	99.8	5	2	2074802	1	99.9	98.6
68892.14	Streptococcus infantis strain NCTC13771	Good	WGS	2066	2023648	99	4.8	6	1924424	1	99.6	98.4
1777881.3	Streptococcus sp. DD13	Good	WGS	1751	1716726	94.8	3.8	15	1349942	1	98.4	97
315405.9	Streptococcus gallolyticus strain ICDDRB-NRC-S1	Good	Complete	2259	2052496	99	5	1	2052496	1	99.1	98.3
1739391.3	Streptococcus sp. HMSC071H03	Good	WGS	2137	1942366	97.9	6.7	38	209069	4	99.8	97.5
862967.22	Streptococcus intermedius B196 strain G1564	Good	WGS	2004	1887926	97.4	7	125	25258	20	99.8	98
1307.1955	Streptococcus suis strain 1069	Good	WGS	2575	2356035	100	8	428	98903	9	99.6	96.6
936154.3	Streptococcus parauberis KCTC 11537	Good	Complete	2351	2143887	98.6	7.8	1	2143887	1	99	95.9
1074061.3	Streptococcus sobrinus TCI-77	Good	WGS	1975	2106508	96.4	1.9	258	15381	42	98.3	97.7
1074094.3	Streptococcus sobrinus TCI-2	Good	WGS	2020	2141775	94	1.5	401	10121	62	97.4	97
1074052.3	Streptococcus sobrinus TCI-9	Good	WGS	1974	2104944	90.7	2.8	455	9238	63	96.2	95.4
