genome.genome_id	genome.additional_metadata	genome.altitude	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence	genome.assembly_accession	genome.assembly_method	genome.bioproject_accession	genome.biosample_accession	genome.biovar	genome.body_sample_site	genome.body_sample_subsite	genome.cds	genome.cds_ratio	genome.cell_shape	genome.checkm_completeness	genome.checkm_contamination	genome.chromosomes	genome.class	genome.coarse_consistency	genome.collection_date	genome.collection_year	genome.common_name	genome.completion_date	genome.contig_l50	genome.contig_n50	genome.contigs	genome.core_families	genome.core_family_ratio	genome.culture_collection	genome.date_inserted	genome.date_modified	genome.depth	genome.disease	genome.family	genome.fine_consistency	genome.gc_content	genome.genbank_accessions	genome.genome_id	genome.genome_length	genome.genome_name	genome.genome_quality	genome.genome_quality_flags	genome.genome_status	genome.genus	genome.geographic_location	genome.gram_stain	genome.habitat	genome.host_age	genome.host_gender	genome.host_health	genome.host_name	genome.hypothetical_cds	genome.hypothetical_cds_ratio	genome.isolation_comments	genome.isolation_country	genome.isolation_site	genome.isolation_source	genome.kingdom	genome.latitude	genome.longitude	genome.missing_core_family_ids	genome.mlst	genome.motility	genome.ncbi_project_id	genome.nearest_genomes	genome.optimal_temperature	genome.order	genome.organism_name	genome.other_clinical	genome.other_environmental	genome.other_typing	genome.outgroup_genomes	genome.owner	genome.oxygen_requirement	genome.p2_genome_id	genome.partial_cds	genome.partial_cds_ratio	genome.pathovar	genome.patric_cds	genome.phylum	genome.plasmids	genome.plfam_cds	genome.plfam_cds_ratio	genome.public	genome.publication	genome.reference_genome	genome.refseq_accessions	genome.refseq_cds	genome.refseq_project_id	genome.rrna	genome.salinity	genome.sequencing_centers	genome.sequencing_depth	genome.sequencing_platform	genome.sequencing_status	genome.serovar	genome.species	genome.sporulation	genome.sra_accession	genome.strain	genome.taxon_id	genome.taxon_lineage_ids	genome.taxon_lineage_names	genome.taxonomy	genome.temperature_range	genome.text	genome.trna	genome.type_strain	genome.user_read	genome.user_write
1408188.3	biomaterial_provider:Jaime Romero Personal Collection				GCF_001672265.1	Celera Assembler v. 7.0	PRJNA227015	SAMN02399558				2688	1.08		100	14.2		Bacilli	98.4			Lactococcus_lactis_RTB018	2016-06-20T00:00:00Z	3	422793	17				2016-07-06T16:10:43.288Z	2016-07-06T16:10:43.288Z			Streptococcaceae	95.8	35.22	JCOB00000000	1408188.3	2486648	Lactococcus lactis RTB018	Good		WGS	Lactococcus	Chile: Puerto Montt						Rainbow trout, Oncorhynchus mykiss	827	0.31		Chile		intestinal content of rainbow trout reared in Puerto Montt	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2692	Firmicutes		2686	1	1				2419		11		Omics Solutions	38.21x	IonTorrent			Lactococcus lactis			RTB018	1408188	131567::2::1783272::1239::91061::186826::1300::1357::1358::1408188	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis RTB018	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis RTB018			66			
1364.36	collected_by:stephane CHAILLOU				GCA_900258445.1		PRJEB21910	SAMEA104233132				2273	1.02		98.5	1.5	1	Bacilli	98.3	2013	2013	Lactococcus_piscium	2018-03-31T00:00:00Z	1	2154856	4			CIP:110936	2018-07-16T16:54:59.892Z	2018-07-16T16:54:59.892Z			Streptococcaceae	97.4	38.152958	OGVB01000000LT984414,LT984415,LT984416	1364.36	2223617	Lactococcus piscium strain CMTALT02	Good		Complete	Lactococcus								746	0.33	isolated from a vacuum-packed beef carpaccio			Beef Carpaccio	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2273	Firmicutes	3	1893	0.83	1				2240		2		INRA					Lactococcus piscium			CMTALT02	1364	131567::2::1783272::1239::91061::186826::1300::1357::1364	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus piscium	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus piscium			40			
1215915.3					GCA_000327305.1		PRJEB218	SAMEA2272463				2424	1.06		100	1.5	0	Bacilli	97.3			Lactococcus_raffinolactis_4877	2012-07-31T00:00:00Z	24	36195	127			 	2014-12-08T22:11:55.416Z	2015-03-16T03:17:09.594Z			Streptococcaceae	95.3	38.66	CALL00000000	1215915.3	2280761	Lactococcus raffinolactis 4877	Good		WGS	Lactococcus								1002	0.41				cheese	Bacteria						183094			Lactobacillales	Lactococcus raffinolactis 4877					PATRIC		253216	0	0		2424	Firmicutes	0	2424	1	1		Representative	-	2359	184871	11		INRA-MIG			WGS		Lactococcus raffinolactis			4877	1215915	131567::2::1783272::1239::91061::186826::1300::1357::1366::1215915	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus raffinolactis::Lactococcus raffinolactis 4877	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus raffinolactis; Lactococcus raffinolactis 4877			48			
1359.23	sample_type:Whole organism				GCF_001005395.1	DNAStar Lasergene Genomics Suite v. 12.2	PRJNA277809	SAMN03396924				3201	1.12		100	2.7		Bacilli	99.4	30-Jun-2011	2011	Lactococcus_lactis_subsp_cremoris	2015-05-08T00:00:00Z	23	39991	176				2016-01-17T16:01:54.719Z	2016-01-17T16:01:54.719Z			Streptococcaceae	98.1	35.31	LAVW01000000	1359.23	2862383	Lactococcus lactis subsp. cremoris strain DPC6856	Good		WGS	Lactococcus	Ireland							1187	0.37		Ireland		Bovine rumen	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		3202	Firmicutes		3180	0.99	1				2972		10		Teagasc	32.0x	454			Lactococcus lactis subsp. cremoris			DPC6856	1359	131567::2::1783272::1239::91061::186826::1300::1357::1358::1359	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. cremoris	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. cremoris			67			
1364.33	sample_type:whole organism				GCA_002441695.1	SOAPdenovo v. 2	PRJNA270383	SAMN03267152				2460	1.02		100	1.5		Bacilli	98.2			Lactococcus_piscium	2017-10-04T00:00:00Z	9	94429	74				2017-11-23T02:49:44.242Z	2017-11-23T02:49:44.242Z			Streptococcaceae	97.2	38.55	JXJW01000000	1364.33	2405003	Lactococcus piscium strain DSM 6634	Good		WGS	Lactococcus								1085	0.44				diseased Rainbow yearling	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2460	Firmicutes		2459	1	1				2303		3		Inner Mongolia Agricultural University	100x	Illumina MiSeq; Illumina HiSeq			Lactococcus piscium			DSM 6634	1364	131567::2::1783272::1239::91061::186826::1300::1357::1364	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus piscium	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus piscium			40			
1360.106	sample_type:cell culture				GCF_001456625.1	IDBA-UD v. 1.1.1	PRJNA294255	SAMN04026635				2772	1.14		100	0.6		Bacilli	99.6	2014	2014	Lactococcus_lactis_subsp_lactis	2015-12-04T00:00:00Z	16	43888	133				2016-01-30T12:34:27.629Z	2016-01-30T12:34:27.629Z			Streptococcaceae	98.4	34.81	LKLP01000000	1360.106	2435575	Lactococcus lactis subsp. lactis strain LMG8520	Good		WGS	Lactococcus	Netherlands							997	0.36		Netherlands		Leaf hopper	Bacteria								C	Lactobacillales						PATRIC@patricbrc.org			0	0		2775	Firmicutes		2769	1	1				2675		4		Radboudumc	50.0x	Illumina HiSeq			Lactococcus lactis subsp. lactis			LMG8520	1360	131567::2::1783272::1239::91061::186826::1300::1357::1358::1360	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. lactis	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis			66			
2025039.3					GCA_002260845.1	SPAdes v. 3.8.1	PRJDB6150	SAMD00089645				2164	1		97.7	0		Bacilli	97.9	2017-06	2017	Lactococcus_sp_Rs_Y01	2017-08-11T00:00:00Z	2	461990	20			JCM:32106	2017-09-28T20:47:02.451Z	2017-09-28T20:47:02.451Z			Streptococcaceae	97.3	41.3	BEDT00000000	2025039.3	2169598	Lactococcus sp. Rs-Y01	Good		WGS	Lactococcus	Japan:Ibaraki, Tsukuba						Reticulitermes speratus	879	0.41	isolated from the hindgut of a wood-feeding lower termite Reticulitermes speratus	Japan		the hindgut of a wood-feeding lower termite Reticulitermes speratus	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2164	Firmicutes		2162	1	1				2099		4		Microbe Division (RIKEN BRC JCM), RIKEN BioResource Center	Unknown	illumina MiSeq			Lactococcus reticulitermitis			Rs-Y01	2025039	131567::2::1783272::1239::91061::186826::1300::1357::2025039	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus reticulitermitis	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus reticulitermitis			46			
1122154.8					GCF_900119835.1		PRJEB17964	SAMN02746068				2271	1.03		97.7	0		Bacilli	98.2			Lactococcus_chungangensis_CAU_28_DSM_22330	2016-11-18T00:00:00Z	4	248672	44			DSM 22330	2017-01-18T17:57:53.773Z	2017-01-18T17:57:53.773Z			Streptococcaceae	97.2	38.62	FPKS00000000	1122154.8	2214941	Lactococcus chungangensis CAU 28 = DSM 22330	Good		WGS	Lactococcus	South Korea:Cheonan							950	0.42		South Korea			Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2271	Firmicutes		2262	1	1				2163		2		DOE - JOINT GENOME INSTITUTE					Lactococcus chungangensis			DSM 22330	1122154	131567::2::1783272::1239::91061::186826::1300::1357::451457::1122154	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus chungangensis::Lactococcus chungangensis CAU 28 = DSM 22330	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus chungangensis; Lactococcus chungangensis CAU 28 = DSM 22330			41			
1122154.4					GCA_000731045.1	ALLPATHS-LG denovo assembly v. May-2013	PRJNA243309	SAMN02715502				2194	0.98		97.7	0		Bacilli	98.1	2008	2008	Lactococcus_chungangensis_CAU_28_DSM_22330	2014-07-18T00:00:00Z	7	132860	39				2014-12-08T22:30:27.214Z	2015-03-16T03:17:09.594Z			Streptococcaceae	97.1	38.7	JMRL00000000	1122154.4	2243208	Lactococcus chungangensis CAU 28 = DSM 22330	Good		WGS	Lactococcus	South Korea: Cheonan							873	0.4	isolated from a foam sample taken from an activated sludge	South Korea		foam sample taken from an activated sludge	Bacteria									Lactobacillales						PATRIC			0	0		2194	Firmicutes		2187	1	1	-		-	0		10		Chung-Ang University	170.0x	Illumina HiSeq			Lactococcus chungangensis		SRR1212710	CAU 28	1122154	131567::2::1783272::1239::91061::186826::1300::1357::451457::1122154	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus chungangensis::Lactococcus chungangensis CAU 28 = DSM 22330	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus chungangensis; Lactococcus chungangensis CAU 28 = DSM 22330			47	Yes		
1360.317					GCA_002804185.1	Velvet v. 1.2.10	PRJNA419050	SAMN08048876				2388	0.98		96.7	0	1	Bacilli	99.7	07-Sep-2013	2013	Lactococcus_lactis_subsp_lactis	2017-12-04T00:00:00Z	1	2432058	1				2018-01-01T02:28:06.758Z	2018-01-01T02:28:06.758Z			Streptococcaceae	97.8	35.12	CP024954	1360.317	2432058	Lactococcus lactis subsp. lactis strain F44	Good		Complete	Lactococcus	China:Tianjin							659	0.28		China		medium	Bacteria									Lactobacillales			env_biome:medium			PATRIC@patricbrc.org			0	0		2388	Firmicutes		2376	0.99	1				2296		5		Tianjin University	300.0x	Illumina HiSeq			Lactococcus lactis subsp. lactis			F44	1360	131567::2::1783272::1239::91061::186826::1300::1357::1358::1360	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. lactis	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis			54			
