Gene	Length in bp	Product	streptococcus_00001	streptococcus_00010	streptococcus_00011	streptococcus_00012	streptococcus_00014	streptococcus_00015	streptococcus_00016	streptococcus_00018	streptococcus_00021	streptococcus_00022	streptococcus_00023	streptococcus_00026	streptococcus_00029	streptococcus_00053	streptococcus_00063	streptococcus_00070	streptococcus_00073	streptococcus_00081	streptococcus_00084	streptococcus_00085	streptococcus_00088	streptococcus_00091	streptococcus_00102	streptococcus_00105	streptococcus_00167	streptococcus_00175	streptococcus_00186	streptococcus_00192	streptococcus_00195	streptococcus_00331	streptococcus_00550	streptococcus_00551	streptococcus_00563	streptococcus_00944	streptococcus_01671	streptococcus_01723	streptococcus_01727	streptococcus_01804	streptococcus_01809	streptococcus_01814	streptococcus_01815	streptococcus_01936	streptococcus_02063	streptococcus_02064	streptococcus_02071	streptococcus_02148	streptococcus_02159	streptococcus_02356	streptococcus_02605	streptococcus_03931	streptococcus_03934	streptococcus_03942	streptococcus_03953	streptococcus_03954	streptococcus_03955	streptococcus_03956	streptococcus_03957	streptococcus_03976	streptococcus_03979	streptococcus_04001	streptococcus_04012	streptococcus_04015	streptococcus_04111	streptococcus_04284	streptococcus_04286	streptococcus_04390	streptococcus_04401	streptococcus_04403	streptococcus_04418	streptococcus_04630	streptococcus_05696	streptococcus_05798	streptococcus_05950	streptococcus_05954	streptococcus_06016	streptococcus_06022	streptococcus_06203	streptococcus_06223	streptococcus_06464	streptococcus_06722	streptococcus_07817	streptococcus_07820	streptococcus_07823	streptococcus_07824	streptococcus_07829	streptococcus_07830	streptococcus_07831	streptococcus_07832	streptococcus_07833	streptococcus_07834	streptococcus_07872	streptococcus_07904	streptococcus_07954	streptococcus_07971	streptococcus_07986	streptococcus_08003	streptococcus_08288	streptococcus_08877	streptococcus_09004	streptococcus_09913	streptococcus_09918	streptococcus_09919	streptococcus_09930	streptococcus_09936	streptococcus_09948	streptococcus_10375	streptococcus_10696	streptococcus_11831	streptococcus_11832	streptococcus_11836	streptococcus_11838	streptococcus_11840	streptococcus_11844	streptococcus_11845	streptococcus_11849	streptococcus_11854	streptococcus_11855	streptococcus_11862	streptococcus_11863	streptococcus_11864	streptococcus_11865	streptococcus_11868	streptococcus_11869	streptococcus_11870	streptococcus_11871	streptococcus_11872	streptococcus_11875	streptococcus_11876	streptococcus_11883	streptococcus_11884	streptococcus_11886	streptococcus_11892	streptococcus_11893	streptococcus_11897	streptococcus_11898	streptococcus_11899	streptococcus_11900	streptococcus_11902	streptococcus_11903	streptococcus_11904	streptococcus_11907	streptococcus_11908	streptococcus_11918	streptococcus_11919	streptococcus_11927	streptococcus_11929	streptococcus_11932	streptococcus_11933	streptococcus_11934	streptococcus_11935	streptococcus_11942	streptococcus_11944	streptococcus_11945	streptococcus_11946	streptococcus_11947	streptococcus_11948	streptococcus_11955	streptococcus_11956	streptococcus_11960	streptococcus_11962	streptococcus_11963	streptococcus_11964	streptococcus_11965	streptococcus_11966	streptococcus_11967	streptococcus_11968	streptococcus_11969	streptococcus_11970	streptococcus_11971	streptococcus_11972	streptococcus_11973	streptococcus_11974	streptococcus_11975	streptococcus_11976	streptococcus_11977	streptococcus_11978	streptococcus_11979	streptococcus_11980	streptococcus_11981	streptococcus_11982	streptococcus_11983	streptococcus_11984	streptococcus_11985
arlR,arlR_1,arlR_2,arlR_3,arlR_4,baeR,cheB,copR,cusR,graR_2,hssR,hssR_1,hssR_2,kdpE,kdpE_1,mprA,mtrA,pdtaR,phoB,phoB_1,phoB_2,phoP,phoP_1,phoP_2,qseB,regX3,regX3_1,regX3_2,regX3_3,rssB,saeR,saeR_1,saeR_2,sphR,srrA,srrA_1,srrA_2,tcrA,tcrX,walR,walR_1,walR_2,walR_3,walR_4	90-798	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP,Alkaline phosphatase synthesis transcriptional regulatory protein SphR,DNA-binding response regulator MtrA,Heme response regulator HssR,KDP operon transcriptional regulatory protein KdpE,Phosphate regulon transcriptional regulatory protein PhoB,Protein-glutamate methylesterase/protein-glutamine glutaminase,Regulator of RpoS,Response regulator ArlR,Response regulator MprA,Response regulator SaeR,Response regulator protein GraR,Sensory transduction protein regX3,Transcriptional activator protein CopR,Transcriptional regulatory protein BaeR,Transcriptional regulatory protein CusR,Transcriptional regulatory protein KdpE,Transcriptional regulatory protein QseB,Transcriptional regulatory protein SrrA,Transcriptional regulatory protein TcrA,Transcriptional regulatory protein WalR,hypothetical protein,putative transcriptional regulatory protein TcrX,putative transcriptional regulatory protein pdtaR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
atm1,bmrA,bmrA_1,bmrA_2,btuD_1,btuD_2,btuD_3,btuD_5,btuD_6,cydD,cydD_1,cydD_2,hepA,hlyB,irtA,irtB,lagD,lagD_1,lagD_2,lagD_3,lmrA,lmrA_1,lmrA_2,msbA,msbA_1,msbA_2,ndvA,yheH,yheH_2,yheH_3	120-2310	ATM1-type heavy metal exporter,ATP-binding/permease protein CydD,Alpha-hemolysin translocation ATP-binding protein HlyB,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,Fatty acid ABC transporter ATP-binding/permease protein,Heterocyst differentiation ATP-binding protein HepA,Iron import ATP-binding/permease protein IrtA,Iron import ATP-binding/permease protein IrtB,Lactococcin-G-processing and transport ATP-binding protein LagD,Lipid A export ATP-binding/permease protein MsbA,Multidrug resistance ABC transporter ATP-binding and permease protein,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,Putative multidrug export ATP-binding/permease protein,Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative ABC transporter ATP-binding protein,putative ABC transporter ATP-binding/permease protein,putative multidrug resistance ABC transporter ATP-binding/permease protein YheH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Int-Tn,Int-Tn_1,Int-Tn_2,Int-Tn_4,intQ,intS,xerC,xerC_1,xerC_10,xerC_11,xerC_12,xerC_13,xerC_2,xerC_3,xerC_4,xerC_5,xerC_6,xerC_7,xerC_8,xerC_9,xerD,xerD_1,xerD_2,xerD_3,xerD_4	129-1518	Prophage integrase IntS,Putative defective protein IntQ,Putative prophage phiRv2 integrase,Transposase from transposon Tn916,Tyrosine recombinase XerC,Tyrosine recombinase XerD,hypothetical protein	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1
alaA,asD,aspB,aspC,bacF,dapL,dapL_1,dapL_2,dapX,dapX_1,dapX_2,dapX_3,gabR_1,gabR_2,hisC,vioD,vioD_1,vioD_2	129-1608	Asparagine--oxo-acid transaminase,Aspartate aminotransferase,Aspartate/prephenate aminotransferase,Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase,Capreomycidine synthase,Glutamate-pyruvate aminotransferase AlaA,HTH-type transcriptional regulatory protein GabR,Histidinol-phosphate aminotransferase,LL-diaminopimelate aminotransferase,Transaminase BacF,hypothetical protein,putative N-acetyl-LL-diaminopimelate aminotransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
insK,insK_1,insK_2,insK_3,insK_4,insK_5,insK_6	99-1194	IS3 family transposase IS-LL6,IS3 family transposase IS1069,IS3 family transposase IS1485,IS3 family transposase IS199,IS3 family transposase IS861,IS3 family transposase IS981,IS3 family transposase ISBce13,IS3 family transposase ISEnfa5,IS3 family transposase ISErh6,IS3 family transposase ISLgar1,IS3 family transposase ISLmo8,IS3 family transposase ISRgn1,IS3 family transposase ISSag12,IS3 family transposase ISSag4,IS3 family transposase ISSag5,IS3 family transposase ISSau2,IS3 family transposase ISSdy1,IS3 family transposase ISSdy2,IS3 family transposase ISSeq3,IS3 family transposase ISSmu1,IS3 family transposase ISSpl1,IS3 family transposase ISSpn1,IS3 family transposase ISSpn11,IS3 family transposase ISSpn4,IS3 family transposase ISSpy1,IS3 family transposase ISSsu11,IS3 family transposase ISSth1b,IS3 family transposase ISStin5,IS3 family transposase ISStin6,IS3 family transposase ISStin7,IS3 family transposase ISStrsp1,IS3 family transposase ISWci2,Putative transposase InsK for insertion sequence element IS150,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
artM_1,artM_2,artM_3,artM_4,artM_5,bcrA_1,btuD_1,btuD_2,btuD_3,btuD_4,btuD_5,btuD_7,btuD_8,cysA,cysA_1,cysA_2,fetA,fetA_1,fetA_2,fetA_3,gbuA,glnQ_1,glnQ_2,glnQ_3,glnQ_4,glnQ_5,lnrL_1,malK,malK_2,metN2_2,metN_2,msmX,msmX_1,opuAA,opuBA,opuBA_1,opuBA_2,opuCA,opuCA_1,opuCA_2,opuCA_3,osmV,potA,potA_1,potA_2,potA_3,ssuB,sugC,tauB,tcyC,tcyC_2,yehX	168-1524	Aliphatic sulfonates import ATP-binding protein SsuB,Arginine transport ATP-binding protein ArtM,Bacitracin transport ATP-binding protein BcrA,Carnitine transport ATP-binding protein OpuCA,Choline transport ATP-binding protein OpuBA,Glutamine transport ATP-binding protein GlnQ,Glycine betaine transport ATP-binding protein OpuAA,Glycine betaine uptake system ATP-binding protein YehX,Glycine betaine/carnitine transport ATP-binding protein GbuA,Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA,L-cystine import ATP-binding protein TcyC,Linearmycin resistance ATP-binding protein LnrL,Maltose/maltodextrin import ATP-binding protein MalK,Methionine import ATP-binding protein MetN,Methionine import ATP-binding protein MetN 2,Oligosaccharides import ATP-binding protein MsmX,Osmoprotectant import ATP-binding protein OsmV,Putative ABC transporter ATP-binding protein MG187,Spermidine/putrescine import ATP-binding protein PotA,Sulfate/thiosulfate import ATP-binding protein CysA,Taurine import ATP-binding protein TauB,Trehalose import ATP-binding protein SugC,Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative iron export ATP-binding protein FetA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bacC,bacC_1,bacC_2,bacG,bdhA,bdhA_2,budC,butA,butA_1,butA_2,fabG,fabG2,fabG_1,fabG_2,fabG_3,fadH,gdhIV,gdh_1,golD,hcaB,kduD,kduD_1,kduD_2,kduD_3,ped,pksJ_2,pksM_2,pksM_6,ptlF,sdh,ucpA,yciK,yghA	102-3267	(S)-1-Phenylethanol dehydrogenase,1-deoxy-11-beta-hydroxypentalenate dehydrogenase,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,3-oxoacyl-[acyl-carrier-protein] reductase,3-oxoacyl-[acyl-carrier-protein] reductase FabG,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,D-beta-hydroxybutyrate dehydrogenase,Diacetyl reductase [(S)-acetoin forming],Dihydroanticapsin 7-dehydrogenase,Glucose 1-dehydrogenase,Glucose 1-dehydrogenase 4,NAD-dependent glycerol dehydrogenase,NADPH-dependent reductase BacG,Oxidoreductase UcpA,Polyketide synthase PksJ,Polyketide synthase PksM,Serine 3-dehydrogenase,hypothetical protein,putative 2,4-dienoyl-CoA reductase,putative oxidoreductase,putative oxidoreductase YciK,putative oxidoreductase YghA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	90-984	hypothetical protein	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bglA,bglA_1,bglA_2,bglA_3,bglA_4,bglB,bglB_2,bglB_3,bglC,bglC_1,bglC_2,bglC_3,bglH,bglH_1,bglH_10,bglH_11,bglH_2,bglH_3,bglH_4,bglH_5,bglH_6,bglH_7,bglH_8,bglH_9,lacG,lacG_1,lacG_2	126-1512	6-phospho-beta-galactosidase,6-phospho-beta-glucosidase BglA,6-phospho-beta-glucosidase BglB,Aryl-phospho-beta-D-glucosidase BglA,Aryl-phospho-beta-D-glucosidase BglC,Aryl-phospho-beta-D-glucosidase BglH,Beta-glucosidase A,Beta-glucosidase B,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bglF,bglF_1,bglF_2,bglF_3,bglF_4,bglF_5,bglF_6,bglF_7,bglF_8,bglF_9,crr,gamP,ptsG_1,ptsG_2,sacX,treB,treP,treP_1,treP_2	96-2169	Negative regulator of SacY activity,PTS system EIIBC component,PTS system beta-glucoside-specific EIIBCA component,PTS system glucose-specific EIIA component,PTS system glucose-specific EIICBA component,PTS system trehalose-specific EIIBC component,Putative PTS system glucosamine-specific EIICBA component,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
