DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Genome data RNAs and RR
COLOR,#CCE2DD
FIELD_COLORS,#d8b365,#c7eae5,#5ab4ac,
FIELD_LABELS,rRNA,Repeat Region,tRNA
DATASET_SCALE,10-10-#8e9594-1-0-8,20-20-#8e9594-1-0-8,30-30-#8e9594-1-0-8,40-40-#8e9594-1-0-8,50-50-#8e9594-1-0-8,60-60-#8e9594-1-0-8,70-70-#8e9594-1-0-8,80-80-#8e9594-1-0-8,90-90-#8e9594-1-0-8,100-100-#8e9594-1-0-8
DATA
lactococcus_00137,4,46,0
lactococcus_00055,1,25,0
lactococcus_00127,0,0,34
lactococcus_00180,4,45,0
lactococcus_00005,4,46,0
lactococcus_00178,0,0,24
lactococcus_00001,2,36,0
lactococcus_00009,3,30,0
streptococcus_09919,3,38,0
streptococcus_11902,2,29,0
streptococcus_11956,5,41,0
streptococcus_11955,2,33,0
streptococcus_11903,5,41,0
streptococcus_11942,5,50,0
streptococcus_00012,2,31,0
streptococcus_00016,4,31,0
streptococcus_11844,2,30,0
streptococcus_11845,18,69,0
streptococcus_11838,3,37,0
streptococcus_11883,19,69,0
streptococcus_00014,1,26,0
streptococcus_00022,0,0,26
streptococcus_00018,3,28,0
streptococcus_03931,0,0,28
streptococcus_03956,0,0,26
streptococcus_03957,0,0,23
streptococcus_00023,0,0,23
streptococcus_07834,0,0,25
streptococcus_07831,1,32,0
streptococcus_00015,0,0,28
streptococcus_03955,0,0,29
streptococcus_07817,0,0,30
streptococcus_07832,0,0,23
streptococcus_07824,1,35,0
streptococcus_03954,0,0,31
streptococcus_00001,1,35,0
streptococcus_00021,0,0,24
streptococcus_03953,0,0,29
streptococcus_03942,1,32,0
streptococcus_03976,4,65,0
streptococcus_11886,0,0,27
streptococcus_11919,6,44,0
streptococcus_11869,0,0,18
streptococcus_11862,0,0,14
streptococcus_11868,18,68,0
streptococcus_11840,7,33,0
streptococcus_11884,15,67,0
streptococcus_00102,18,70,0
streptococcus_11965,3,47,0
streptococcus_11967,3,51,0
streptococcus_11970,3,46,0
streptococcus_11963,3,48,0
streptococcus_11973,3,49,0
streptococcus_11980,3,49,0
streptococcus_11964,4,50,0
streptococcus_11979,5,49,0
streptococcus_11966,3,46,0
streptococcus_11981,3,46,0
streptococcus_11975,3,51,0
streptococcus_11968,3,48,0
streptococcus_11971,3,47,0
streptococcus_11977,3,46,0
streptococcus_11974,4,53,0
streptococcus_11976,3,48,0
streptococcus_11982,3,48,0
streptococcus_11984,3,48,0
streptococcus_11985,3,50,0
streptococcus_11983,3,44,0
streptococcus_11972,3,46,0
streptococcus_11978,3,46,0
streptococcus_11854,0,0,17
streptococcus_11908,6,45,0
streptococcus_11932,0,0,14
streptococcus_11935,2,42,0
streptococcus_11962,3,45,0
streptococcus_11969,3,42,0
streptococcus_11892,0,0,16
streptococcus_11893,0,0,16
streptococcus_00175,4,32,0
streptococcus_11864,4,36,0
streptococcus_05696,3,26,0
streptococcus_11836,6,51,0
streptococcus_00070,1,48,0
streptococcus_07971,6,41,0
streptococcus_00026,18,69,0
streptococcus_00029,3,34,0
streptococcus_09936,5,54,0
streptococcus_10375,4,38,0
streptococcus_11831,15,48,0
streptococcus_01727,18,67,0
streptococcus_04401,3,33,0
streptococcus_04403,5,25,0
streptococcus_01671,3,32,0
streptococcus_07986,4,24,0
streptococcus_11929,4,43,0
streptococcus_00105,3,35,0
streptococcus_00195,2,32,0
streptococcus_00944,2,33,0
streptococcus_02064,1,25,0
streptococcus_02063,2,21,0
streptococcus_05950,2,23,0
streptococcus_09930,5,28,0
streptococcus_04286,4,29,0
streptococcus_04015,7,34,0
streptococcus_09918,2,24,0
streptococcus_02159,2,34,0
streptococcus_05954,18,37,0
streptococcus_00186,2,28,0
streptococcus_01723,2,14,0
streptococcus_04284,1,39,0
streptococcus_04390,0,0,26
streptococcus_04418,2,27,0
streptococcus_08003,0,0,13
streptococcus_01804,2,44,0
streptococcus_01809,3,18,0
streptococcus_02071,0,0,17
streptococcus_09948,3,25,0
streptococcus_00084,5,49,0
streptococcus_07829,3,39,0
streptococcus_02605,3,31,0
streptococcus_01815,3,28,0
streptococcus_00331,1,38,0
streptococcus_11933,15,65,0
streptococcus_00053,2,27,0
streptococcus_11927,2,38,0
streptococcus_07823,15,64,0
streptococcus_06022,3,41,0
streptococcus_00011,12,53,0
streptococcus_11875,3,43,0
streptococcus_04111,3,35,0
streptococcus_11946,0,0,2
streptococcus_00192,3,30,0
streptococcus_10696,10,53,0
streptococcus_00550,6,38,0
streptococcus_00551,4,25,0
streptococcus_06203,3,33,0
streptococcus_06223,2,38,0
streptococcus_09004,3,34,0
streptococcus_08877,0,0,17
streptococcus_01936,2,25,0
streptococcus_08288,3,28,0
streptococcus_02356,3,39,0
streptococcus_05798,3,35,0
streptococcus_06464,3,39,0
streptococcus_00081,4,43,0
streptococcus_06722,12,58,0
streptococcus_07820,11,56,0
streptococcus_03934,0,0,34
streptococcus_11876,2,13,0
streptococcus_11871,2,24,0
streptococcus_11899,0,0,22
streptococcus_11870,0,0,6
streptococcus_11863,1,15,0
streptococcus_11904,1,14,0
streptococcus_04012,3,25,0
streptococcus_01814,3,35,0
streptococcus_11945,2,23,0
streptococcus_03979,3,33,0
streptococcus_11948,2,19,0
streptococcus_11897,0,0,16
streptococcus_11947,0,0,9
streptococcus_11934,2,45,0
streptococcus_07830,4,33,0
streptococcus_00085,12,61,0
streptococcus_11849,12,61,0
streptococcus_11898,0,0,10
streptococcus_00091,4,19,0
streptococcus_07872,4,50,0
streptococcus_07904,3,32,0
streptococcus_09913,5,28,0
streptococcus_11944,3,37,0
streptococcus_07954,3,47,0
streptococcus_11907,0,0,9
streptococcus_11855,5,41,0
streptococcus_04001,3,40,0
streptococcus_00063,3,46,0
streptococcus_00088,12,57,0
streptococcus_11900,6,50,0
streptococcus_00073,6,54,0
streptococcus_00167,3,41,0
streptococcus_00010,3,42,0
streptococcus_11872,3,28,0
streptococcus_00563,3,35,0
streptococcus_04630,3,45,0
streptococcus_06016,4,39,0
streptococcus_07833,9,37,0
streptococcus_11960,4,39,0
streptococcus_02148,5,45,0
streptococcus_11865,5,45,0
streptococcus_11918,12,58,0
streptococcus_11832,3,38,0
floricoccus_00001,5,52,0
lactococcus_00181,9,53,0
lactococcus_00187,4,38,0
lactococcus_00188,7,49,0
