genome.genome_id	genome.species	genome.genome_quality	genome.genome_status	genome.patric_cds	genome.checkm_completeness	genome.checkm_contamination	genome.coarse_consistency	genome.fine_consistency
1169670.3	Streptococcus sp. GMD1S	Good	WGS	1987	89.7	6.8	95.5	93.6
764299.3	Streptococcus ictaluri	Good	WGS	2475	98.6	4.2	99.3	97.2
1777881.3	Streptococcus sp. DD13	Good	WGS	1751	94.8	3.8	98.4	97
1768777.3	Streptococcus sp. CCH8-C6	Good	WGS	1813	80.2	2.2	93.9	93.8
1739391.3	Streptococcus sp. HMSC071H03	Good	WGS	2137	97.9	6.7	99.8	97.5
1715134.3	Streptococcus sp. HMSC066F01	Good	WGS	1997	99.8	2.4	99.6	99
1739371.3	Streptococcus sp. HMSC064H09	Good	WGS	2205	99.8	3	99.7	99.3
883168.3	Streptococcus urinalis	Good	WGS	2213	97.6	2.4	99.2	98.4
1975706.3	Streptococcus sp. FDAARGOS_256	Good	WGS	1961	100	3.3	99.7	99.5
1123305.3	Streptococcus hyovaginalis	Good	WGS	2069	97.9	2.6	98.9	98.2
1080071.3	Streptococcus orisasini	Good	WGS	2253	98.6	3.2	99.4	98.1
2173853.3	Streptococcus sp. Z15	Good	WGS	2541	97	2.9	99	98
1739299.3	Streptococcus sp. HMSC056C01	Good	WGS	2080	99.8	3.8	99.7	99.1
197614.10	Streptococcus pasteurianus	Good	WGS	2405	99.5	3.7	99	98.1
904294.3	Streptococcus sp. oral taxon 056	Good	WGS	1972	98.5	3.5	98.9	98
1123318.3	Streptococcus thoraltensis	Good	WGS	2256	97	3.4	98.8	97.6
1814128.3	Streptococcus halotolerans	Good	Complete	2071	96.8	3.6	99	98.2
1768771.3	Streptococcus sp. CCH8-G7	Good	WGS	2025	88	1.6	97	96.5
1739284.3	Streptococcus sp. HMSC062B01			2309	99.5	0.8	99.9	99.7
1319.3	Streptococcus sp. 'group B'	Good	Complete	2284	100	3	99.9	98.8
1316412.3	Streptococcus sp. HSISS3	Good	Complete	2273	98.6	7.3	99	97
2382163.3	Streptococcus sp. JS71	Good	Complete	1994			99	98.5
82348.4	Streptococcus pluranimalium	Good	Complete	2297	96.9	3.1	99	98.3
197614.7	Streptococcus pasteurianus	Good	WGS	2028	99	3	99.2	98.5
2021971.3	Streptococcus respiraculi	Good	Complete	1979			99.3	98.3
1917441.3	Streptococcus ruminantium	Good	Complete	2015			99.6	99.1
1947564.3	Streptococcus sp. UBA4344	Good	WGS	1931	99.3	2.9	99.5	98.3
1947565.3	Streptococcus sp. UBA6071	Good	WGS	2078	87.8	9	94.4	91.9
2487316.3	Streptococcus sp. Marseille-P644	Good	WGS	2087			99.7	99.5
2583586.3	Streptococcus sp. NCTC 10233	Good	WGS	2129			99.4	98.4
2583585.3	Streptococcus sp. NCTC 10228	Good	Complete	2109			99.5	98.8
197614.15	Streptococcus pasteurianus	Good	WGS	2278			99.1	98.3
2589786.3	Streptococcus sp. D19	Good	WGS	2003			99.9	99.3
2589788.3	Streptococcus sp. B4	Good	WGS	1996			99.2	98.8
2293247.3	Streptococcus sp. AM43-2AT	Good	WGS	2086			99	98.9
1839799.5	Streptococcus sp. FDAARGOS_192		Plasmid	28				
1263110.4	Streptococcus thermophilus CAG	Good	WGS	1887	97.6	4.6	99.6	98.8
83427.7	uncultured Streptococcus sp.	Good	WGS	1704			95.8	93.3
439219.4	Streptococcus henryi	Good	WGS	2419			99.6	98.4
2558276.3	Streptococcus sp. LYSM12	Good	WGS	2456				
2545465.3	Streptococcus sp. KCJ4932	Good	WGS	1871				
2478956.3	Streptococcus sp. bf_0095	Good	WGS	1983				
1337.4	Streptococcus hyointestinalis	Good	WGS	2609	99	2.1	99.2	98.3
83427.13	uncultured Streptococcus sp.	Good	WGS	1796			93.9	91.3
83427.14	uncultured Streptococcus sp.	Good	WGS	1619			92.2	90.8
1169673.3	Streptococcus sp. GMD4S	Good	WGS	2124	91	9.7	96	92.7
1169671.3	Streptococcus sp. GMD2S	Good	WGS	1886	81.3	8	95.8	93.7
1676616.3	Streptococcus sp. X13SY08	Good	WGS	1936	94.4	16.8	99.1	94.1
2304043.3	Streptococcus sp. Z1(2018)	Good	WGS	2539	97.9	4	99	97.8
2304042.3	Streptococcus sp. Z2	Good	WGS	2542	97.9	4.1	99	97.7
1777878.3	Streptococcus sp. DD10	Good	WGS	2301	97.6	4.5	99	97.1
1169675.3	Streptococcus sp. GMD6S	Good	WGS	2133	94.9	8.8	98	95.6
1000562.3	Streptococcus phocae subsp. salmonis	Good	WGS	1762	96.4	9.9	98.7	95.9
1715086.3	Streptococcus sp. HMSC078H03	Good	WGS	2022	99.8	2.3	99.8	99
