Gene	Length in bp	Product	streptococcus_00338	streptococcus_00492	streptococcus_00647	streptococcus_00687	streptococcus_00848	streptococcus_01459	streptococcus_01579	streptococcus_01671	streptococcus_01846	streptococcus_01957	streptococcus_02138	streptococcus_02303	streptococcus_02547	streptococcus_02589	streptococcus_02810	streptococcus_02913	streptococcus_03320	streptococcus_03323	streptococcus_03583	streptococcus_03736	streptococcus_05066	streptococcus_05266	streptococcus_05891	streptococcus_06027	streptococcus_06044	streptococcus_06406	streptococcus_06619	streptococcus_07100	streptococcus_07362	streptococcus_07418	streptococcus_07471	streptococcus_07513	streptococcus_07634	streptococcus_07803	streptococcus_07892	streptococcus_08153	streptococcus_08188	streptococcus_08517	streptococcus_08552	streptococcus_09064	streptococcus_09441	streptococcus_09488	streptococcus_10028	streptococcus_10038	streptococcus_10413	streptococcus_10801	streptococcus_11097	streptococcus_11764	streptococcus_11901
N/A	120-1296	ISL3 family transposase IS1165,ISL3 family transposase IS1167,ISL3 family transposase IS1193,ISL3 family transposase ISSmu2,ISL3 family transposase ISSpn14,ISL3 family transposase ISSsu13,ISL3 family transposase ISSsu6,ISL3 family transposase ISSth1,ISL3 family transposaseA,hypothetical protein	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
N/A	147-747	hypothetical protein	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0
N/A	132-681	IS5 family transposase IS1381,IS5 family transposase IS1381A,IS5 family transposase IS1515,IS5 family transposase ISSpn7,hypothetical protein	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
insK	102-1329	IS3 family transposase IS861,IS3 family transposase ISLgar1,IS3 family transposase ISSag4,IS3 family transposase ISSag5,IS3 family transposase ISSmu1,IS3 family transposase ISSpn1,IS3 family transposase ISSpn11,IS3 family transposase ISSpn4,IS3 family transposase ISSpy1,IS3 family transposase ISSth1b,IS3 family transposase ISStin5,IS3 family transposase ISStin7,Putative transposase InsK for insertion sequence element IS150,hypothetical protein	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1
arnC,arnC_1,arnC_2,arnC_3,arnC_4,epsE,epsH,epsJ,epsJ_1,epsJ_2,epsJ_3,glyG,glyG_1,glyG_2,glyG_3,glyG_4,gtfB_2,gtfB_3,tuaG,wbbD,wbnJ,wfgD	183-2838	Glycosyltransferase GlyG,O-antigen biosynthesis glycosyltransferase WbnJ,Putative glycosyltransferase EpsE,Putative glycosyltransferase EpsH,Putative teichuronic acid biosynthesis glycosyltransferase TuaG,UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase,UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,hypothetical protein,putative glycosyltransferase EpsJ	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
bcrA_1,bcrA_2,bcrA_3,bcrA_4,btuD_1,btuD_2,btuD_3,btuD_4,btuD_5,btuD_7,ecsA,ecsA_1,ecsA_2,fecE,lnrL_1,lnrL_2,mglA,natA,natA_2,rbsA,ybhF,yxlF,yxlF_1,yxlF_2	255-1875	ABC transporter ATP-binding protein NatA,ABC-type transporter ATP-binding protein EcsA,Bacitracin transport ATP-binding protein BcrA,Fe(3+) dicitrate transport ATP-binding protein FecE,Galactose/methyl galactoside import ATP-binding protein MglA,Linearmycin resistance ATP-binding protein LnrL,Multidrug efflux system ATP-binding protein,Ribose import ATP-binding protein RbsA,Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative ABC transporter ATP-binding protein YxlF,putative multidrug ABC transporter ATP-binding protein YbhF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	123-882	IS5 family transposase IS1381,IS5 family transposase IS1381A,IS5 family transposase IS1515,IS5 family transposase ISSpn7,hypothetical protein	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0
araR,ccpA_2,ccpA_3,degA,degA_1,degA_2,kdgR,kdgR_1,kdgR_2,purR_2,rbsR,rbsR_1,rbsR_2	237-1041	Arabinose metabolism transcriptional repressor,Catabolite control protein A,HTH-type transcriptional regulator DegA,HTH-type transcriptional regulator KdgR,HTH-type transcriptional repressor PurR,Ribose operon repressor	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
btuD_1,btuD_2,btuD_3,btuD_4,btuD_5,btuD_6,btuD_7,btuD_8,fetA,lnrL,lnrL_1,malK,msmX,msmX_1,msmX_2,potA,potA_1,potA_2,sugC,ybhF	90-1155	Fluoroquinolones export ATP-binding protein,Linearmycin resistance ATP-binding protein LnrL,Maltose/maltodextrin import ATP-binding protein MalK,Oligosaccharides import ATP-binding protein MsmX,Putative ABC transporter ATP-binding protein MG187,Spermidine/putrescine import ATP-binding protein PotA,Trehalose import ATP-binding protein SugC,Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative iron export ATP-binding protein FetA,putative multidrug ABC transporter ATP-binding protein YbhF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Int-Tn,Int-Tn_2,intQ,intS,xerC_1,xerC_10,xerC_2,xerC_3,xerC_4,xerC_5,xerC_6,xerC_7,xerC_8,xerC_9,xerD,xerS	132-1311	Prophage integrase IntS,Putative defective protein IntQ,Putative prophage phiRv2 integrase,Transposase from transposon Tn916,Tyrosine recombinase XerC,Tyrosine recombinase XerD,Tyrosine recombinase XerS,hypothetical protein	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1
