Genome ID	Genome Name	Organism Name	NCBI Taxon ID	Genome Status	Strain	Serovar	Biovar	Pathovar	MLST	Other Typing	Culture Collection	Type Strain	Completion Date	Publication	BioProject Accession	BioSample Accession	Assembly Accession	SRA Accession	GenBank Accessions	RefSeq Accessions	Sequencing Centers	Sequencing Status	Sequencing Platform	Sequencing Depth	Assembly Method	Chromosomes	Plasmids	Contigs	Genome Length	GC Content	PATRIC CDS	RefSeq CDS	Isolation Site	Isolation Source	Isolation Comments	Collection Date	Isolation Country	Geographic Location	Latitude	Longitude	Altitude	Depth	Other Environmental	Host Name	Host Gender	Host Age	Host Health	Body Sample Site	Body Sample Subsite	Other Clinical	AntiMicrobial Resistance	AntiMicrobial Resistance Evidence	Gram Stain	Cell Shape	Motility	Sporulation	Temperature Range	Optimal Temperature	Salinity	Oxygen Requirement	Habitat	Disease	Comments	Additional Metadata	Coarse Consistency	Fine Consistency	Checkm Completeness	Checkm Contamination	Genome Quality Flags	Genome Quality	Date Inserted	Date Modified
1309806.3	Streptococcus agalactiae 09mas018883	Streptococcus agalactiae 09mas018883	1309806	Complete	09mas018883				MLST.Streptococcus_agalactiae.1				2013-05-28T00:00:00Z		PRJEB1693	SAMEA2272272	GCA_000427035.1		HF952104.1	NC_021485.1	SLU-GBC	complete				1		1	2138694	35.5	2089	2089																															Streptococcus agalactiae is a pathogenic bacteria causing meningitis, sepsis in neonates and mastitis in dairy cattle. The genome assembly and annotation of such bacteria will help to identify disease candidate genes that can be used as treatment against mastitis disease.		99.6	99.5	100			Good	2014-12-08T22:13:27.019Z	2015-03-16T03:17:09.594Z
1417990.3	Streptococcus agalactiae 138	Streptococcus agalactiae 138P	1417990	Complete	138				MLST.Streptococcus_agalactiae.261		 		2014-03-25T00:00:00Z		PRJNA226756		GCA_000599965.1		CP007482.1	-	'USDA, ARS, AAHRU'	complete	Illumina		BioNumerics v. 6.6	1		1	1838701	35.5	1891	1593		kidney of diseased fish		2007								Tilapia, Oreochromis niloticus			diseased	kidney					Positive										whole genome;many frameshifted proteins		99.6	98.3	100			Good	2014-12-08T22:13:27.037Z	2015-03-16T03:17:09.594Z
208435.3	Streptococcus agalactiae 2603V/R	Streptococcus agalactiae 2603V/R	208435	Complete	2603V/R	serovar V			MLST.Streptococcus_agalactiae.110				2002-08-30T00:00:00Z	12200547	PRJNA330	SAMN02604013	GCA_000007265.1		AE009948	NC_004116	TIGR	complete				1		1	2160267	35.6	2178	2124																					+	Coccus	No	No	Mesophilic	37		Facultative	Host-associated	Septicemia;Pneumonia;Meningitis	 Streptococcus agalactiae strain 2603V/R. This strain is a serotype V clinical isolate and is the most common type amoung GBS-infected (group B streptococcal) non-pregnant adults.		99.9	99.8	100			Good	2014-12-08T22:13:27.066Z	2015-03-16T03:17:09.594Z
205921.4	Streptococcus agalactiae A909	Streptococcus agalactiae A909	205921	Complete	A909	serovar Ic			MLST.Streptococcus_agalactiae.7				2005-09-29T00:00:00Z	16172379	PRJNA326	SAMN02604011	GCA_000012705.1		CP000114	NC_007432	TIGR	complete				1		1	2127839	35.6	2116	1996																					+	Coccus	No	No	Mesophilic	37		Facultative	Host-associated	Septicemia;Pneumonia;Meningitis	 Streptococcus agalactiae strain A909. This strain is serotype Ic.		99.9	99.9	100	0.9		Good	2014-12-08T22:13:27.085Z	2015-03-16T03:17:09.594Z
888745.3	Streptococcus agalactiae ATCC 13813																																																																							
1427374.3	Streptococcus agalactiae CNCTC 10/84		1427374	Complete	CNCTC 10/84				MLST.Streptococcus_agalactiae.26		NCTC 10		2014-11-14T00:00:00Z	25540350	PRJNA229124	SAMN03178022	GCA_000782855.1		CP006910.1	NZ_CP006910.1	IGS		Illumina	90x	Celera Assembler v. 7.0	1		1	2013842	35.44	1965	1944				1977	United States	USA: Atlanta, GA						Human, Homo sapiens																			This is a genome sequencing project for Streptococcus agaiactiae CNCTC 10/84		99.6	99.5	100			Good	2015-03-12T13:44:08.046Z	2015-03-16T03:17:09.594Z
342616.7	Streptococcus agalactiae COH1		342616	Complete	COH1				MLST.Streptococcus_agalactiae.17				2015-08-20T00:00:00Z	25088811	PRJEB5232	SAMEA3139000	GCF_000689235.1		HG939456	NZ_HG939456.1	IP					1		1	2065074	35.4	2049	2003		infected newborn with sepsis	isolated from an infected newborn with sepsis																												Genome sequence of the Streptococcus agalactiae strain COH1. This strain is a wild-type group B Streptococci that was isolated from an infected newborn with sepsis. The draft sequence (PRJNA15609) was completely reassembled and completed allowing reannotation.		99.7	99.2	99.1			Good	2016-01-17T15:35:16.102Z	2016-01-17T15:35:16.102Z
1203670.3	Streptococcus agalactiae GD201008-001	Streptococcus agalactiae GD201008-001	1203670	Complete	GD201008-001				MLST.Streptococcus_agalactiae.7		 		2012-09-24T00:00:00Z		PRJNA169338	SAMN02603155	GCA_000299135.1		CP003810.1	NC_018646.1	College of Veterinary Medicine, Nanjing Agricultural  University	complete				1		1	2063112	35.6	2013	1964		tilapia	isolate from cultured tilapia in China		China	China						Tilapia, Oreochromis niloticus									Positive	Cocci	No	No							Streptococcus agalactiae isolate from cultured tilapia in China.		99.6	99.2	100			Good	2014-12-08T22:13:28.758Z	2015-03-16T03:17:09.594Z
1309807.3	Streptococcus agalactiae ILRI005	Streptococcus agalactiae ILRI005	1309807	Complete	ILRI005				MLST.Streptococcus_agalactiae.609				2013-05-28T00:00:00Z		PRJEB1694	SAMEA2272371	GCA_000427075.1		HF952105.1	NC_021486.1	SLU-GBC	complete				1		1	2109759	35.4	2155	2155																															Streptococcus agalactiae is a pathogenic bacteria causing meningitis, sepsis in neonates and mastitis in dairy cattle. The genome assembly and annotation of such bacteria will help to identify disease candidate genes that can be used as treatment against mastitis disease.		99.6	99.3	99.1			Good	2014-12-08T22:13:28.776Z	2015-03-16T03:17:09.594Z
1318615.3	Streptococcus agalactiae ILRI112	Streptococcus agalactiae ILRI112	1318615	Complete	ILRI112				MLST.Streptococcus_agalactiae.617				2013-05-28T00:00:00Z		PRJEB1774	SAMEA2272025	GCA_000427055.1		HF952106.1	NC_021507.1	SLU-GBC	complete				1		1	2029198	35.3	2071	2073		milk of camel from Kenya	isolated from milk of camel from Kenya		Kenya							Camel, Camelini																			Streptococcus agalactiae strain ILRI112 has been isolated from milk of camel from Kenya. It is a Gram positive infectious parasite of mammary glands of human and dairy cattle. It causes infection in human neonates as well as dairy herd.;many frameshifted proteins		99.7	98	100	3.4		Good	2014-12-08T22:13:28.785Z	2015-03-16T03:17:09.594Z
211110.3	Streptococcus agalactiae NEM316	Streptococcus agalactiae NEM316	211110	Complete	NEM316	serovar III			MLST.Streptococcus_agalactiae.23				2002-10-02T00:00:00Z	12354221	PRJNA334	SAMEA3138330	GCA_000196055.1		AL732656	NC_004368	Institut Pasteur	complete				1		1	2211485	35.6	2186	2094		case of fatal septicemia	isolated from a case of fatal septicemia									Human, Homo sapiens									+	Coccus	No	No	Mesophilic	37		Facultative	Host-associated	Meningitis	 Streptococcus agalactiae strain NEM316. This strain is a serotype III strain isolated from a case of fatal septicemia. Type III is responsible for 80% of neonatal GBS (group B streptococcal) meningitis.		99.9	99.9	100			Good	2014-12-08T22:13:29.373Z	2015-03-16T03:17:09.594Z
1311.128	Streptococcus agalactiae strain 138spar		1311	Complete	138spar				MLST.Streptococcus_agalactiae.261				2014-05-20T00:00:00Z	24831149	PRJNA226756	SAMN02721568	GCF_000636115.1		CP007565		USDA, ARS, AAHRU		Illumina	150x	BioNumerics v. 6.6	1		1	1838126	35.47	1909	1590				12-Oct-2011	United States	USA:Alabama					env_biome:bacteria										Positive										whole genome;many frameshifted proteins		99.7	98.4	100			Good	2016-01-17T15:34:55.712Z	2016-01-17T15:34:55.712Z
1261567.3	Streptococcus agalactiae strain 22-Feb	Streptococcus agalactiae 2-22	1311	Complete	22-Feb				MLST.Streptococcus_agalactiae.261		ATCC 51487		2013-05-07T00:00:00Z	23586779	PRJEB643		GCA_000967445.1		FO393392.1	NC_021195.1	IP	complete				1		1	1838867	35.5	1888	1548		fish and from mammals, we performed the complete genome sequencing and annotation of the ST261 strain 2-22 (or ATCC 51487) responsible for events of invasive diseases	'isolated from fish and from mammals, we performed the complete genome sequencing and annotation of the ST261 strain 2-22 (or ATCC 51487) responsible for events of invasive diseases in fish farms in the 60's'	1960's																											'As a first step to explore the phylogenomic relationships between GBS strains isolated from fish and from mammals, we performed the complete genome sequencing and annotation of the ST261 strain 2-22 (or ATCC 51487) responsible for events of invasive diseases in fish farms in the 60's. Genome sequence was obtained using both 454 pyrosequencing and Illumina sequencing. Remaining gaps were covered using polymerase chain reaction and Sanger sequencing.';many frameshifted proteins		99.6	98.3	100			Good	2014-12-08T22:13:27.008Z	2015-03-16T03:17:09.594Z
1311.545	Streptococcus agalactiae strain GBS ST-1		1311	Complete	GBS ST-1				MLST.Streptococcus_agalactiae.1				2015-11-30T00:00:00Z		PRJNA296923	SAMN04111187	GCF_001448985.1	SRR2587483	CP013202	NZ_CP013202.1	Hartnell College		Illumina	345	CLC Genomics Workbench v. 8	1		1	2165968	35.38	2160	2063		gumline		15-Aug-2015	United States	USA: Salinas, California						Canis lupus familiaris breed Parson Russell Terrier and Chihuahua mix														C					First report of Streptococcus agalactiae isolated from the buccal cavity of Canis lupus familiaris	sample_type:Cells isolated on Selective Strep Agar Hardy Diagnostics (Cincinnati, OH);collected_by:Joni Black	99.7	99.6	100			Good	2016-01-30T04:11:40.406Z	2016-01-30T04:11:40.406Z
1311.142	Streptococcus agalactiae strain GBS1-NY		1311	Complete	GBS1-NY				MLST.Streptococcus_agalactiae.22				2014-08-21T00:00:00Z	25053786	PRJNA243853	SAMN02720890	GCF_000831145.1		CP007570	NZ_CP007570.1	Centers for Disease Control and Prevention		Illumina; PacBio		HGAP v. 2.0	1		1	2243708	35.93	2210	2072		blood		01-Sep-2012	United States	United States																									One of two first known vancomycin-resistant isolates of S. agalactiae.		99.9	99.8	100	0.9		Good	2016-01-17T15:43:14.732Z	2016-01-17T15:43:14.732Z
1311.141	Streptococcus agalactiae strain GBS2-NM		1311	Complete	GBS2-NM				MLST.Streptococcus_agalactiae.22				2014-08-21T00:00:00Z	25053786	PRJNA243854		GCF_000831125.1		CP007571	NZ_CP007571.1	Centers for Disease Control and Prevention		Illumina; PacBio		HGAP v. 2.0	1		1	2214297	35.89	2179	2042																															One of the two first discovered vancomycin-resistant isolates of S. agalactiae		99.9	99.7	100	0.9		Good	2016-01-17T15:43:14.347Z	2016-01-17T15:43:14.347Z
1311.14	Streptococcus agalactiae strain GBS6		1311	Complete	GBS6	serovar II			MLST.Streptococcus_agalactiae.22				2014-08-21T00:00:00Z	25053786	PRJNA244773		GCF_000831105.1		CP007572	NZ_CP007572.1	Centers for Disease Control and Prevention		Illumina; PacBio		HGAP v. 2.0	1		1	2231475	35.75	2202	2066																															Strain GBS6, Serotype II, MLST type 22, specific control vancomycin-sensitive strain		99.9	99.7	100	0.9		Good	2016-01-17T15:43:14.026Z	2016-01-17T15:43:14.026Z
1311.349	Streptococcus agalactiae strain GBS85147		1311	Complete	GBS85147				MLST.Streptococcus_agalactiae.103				2015-08-11T00:00:00Z		PRJNA263907	SAMN03108598	GCF_001266635.1		CP010319	NZ_CP010319.1	UFMG		PRM Ion Torrent	246x	Mira v. 3.9; CONTIGuator v. 2	1		1	1996151	35.49	1959	1915		oropharynx			Brazil	Brazil:Rio de Janeiro						Human, Homo sapiens									Positive	Cocci	No		Mesophilic	37C		Facultative	HostAssociated	Meningitis, Shock, Pneumonia, Septicemia, and Respiratory Failure	Streptococcus agalactiae (Group B Streptococcus, GBS) are the most common cause of serious bacterial infections in newborn and adults with underlying medical disorders. At the time of birth, GBS is vertically transmitted to the neonate, and it is estimated that 50% or more of newborns exposed to GBS will become colonized if the mother is a carrier.		99.7	99.4	100	0.9		Good	2016-01-17T17:02:27.850Z	2016-01-17T17:02:27.850Z
